Time - Voltage	Amplitude - Voltage
04:37.4	-1.816
04:37.4	-1.677
04:37.4	-2.703
04:37.4	-3.35
04:37.4	-3.203
04:37.4	-3.132
04:37.4	-3.435
04:37.4	-3.757
04:37.4	-4.048
04:37.4	-4.187
04:37.4	-4.133
04:37.4	-4.08
04:37.5	-4.211
04:37.5	-4.148
04:37.5	-4.172
04:37.5	-4.199
04:37.5	-4.194
04:37.5	-4.185
04:37.5	-4.07
04:37.5	-4.124
04:37.5	-4.058
04:37.5	-4.121
04:37.5	-3.918
04:37.6	-3.977
04:37.6	-4.001
04:37.6	-3.97
04:37.6	-4.075
04:37.6	-4.092
04:37.6	-3.999
04:37.6	-3.721
04:37.6	-3.848
04:37.6	-3.999
04:37.6	-4.128
04:37.6	-4.009
04:37.7	-3.972
04:37.7	-3.767
04:37.7	-3.972
04:37.7	-4.15
04:37.7	-3.977
04:37.7	-3.625
04:37.7	-3.76
04:37.7	-4.023
04:37.7	-4.102
04:37.7	-3.911
04:37.8	-3.511
04:37.8	-3.782
04:37.8	-4.05
04:37.8	-3.882
04:37.8	-3.977
04:37.8	-3.73
04:37.8	-3.616
04:37.8	-3.616
04:37.8	-3.811
04:37.8	-3.745
04:37.8	-3.435
04:37.9	-3.628
04:37.9	-3.667
04:37.9	-3.616
04:37.9	-2.983
04:37.9	-3.154
04:37.9	-3.142
04:37.9	-3.496
04:37.9	-3.525
04:37.9	-3.247
04:37.9	-2.568
04:37.9	-2.866
04:38.0	-3.196
04:38.0	-3.162
04:38.0	-2.617
04:38.0	-2.517
04:38.0	-3.154
04:38.0	-3.501
04:38.0	-2.915
04:38.0	-2.288
04:38.0	-2.949
04:38.0	-2.922
04:38.0	-2.695
04:38.1	-2.656
04:38.1	-2.72
04:38.1	-2.458
04:38.1	-2.705
04:38.1	-2.424
04:38.1	-3.018
04:38.1	-2.388
04:38.1	-1.904
04:38.1	-2.544
04:38.1	-2.588
04:38.1	-2.412
04:38.2	-1.907
04:38.2	-2.402
04:38.2	-2.324
04:38.2	-2.52
