Time - Voltage	Amplitude - Voltage
47:21.4	-2.671
47:21.4	-2.6
47:21.4	-2.407
47:21.5	-1.824
47:21.5	-2.832
47:21.5	-3.01
47:21.5	-2.007
47:21.5	-3.157
47:21.5	-2.158
47:21.5	-2.39
47:21.5	-2.761
47:21.5	-2.52
47:21.5	-2.861
47:21.5	-1.929
47:21.6	-2.312
47:21.6	-3.418
47:21.6	-2.517
47:21.6	-2.673
47:21.6	-2.2
47:21.6	-2.896
47:21.6	-3.254
47:21.6	-1.88
47:21.6	-2.158
47:21.6	-2.087
47:21.6	-2.178
47:21.7	-2.568
47:21.7	-2.354
47:21.7	-2.717
47:21.7	-2.107
47:21.7	-2.717
47:21.7	-3.108
47:21.7	-3.157
47:21.7	-2.749
47:21.7	-2.634
47:21.7	-2.683
47:21.7	-3.535
47:21.8	-2.483
47:21.8	-2.126
47:21.8	-2.458
47:21.8	-2.002
47:21.8	-2.964
47:21.8	-2.126
47:21.8	-2.373
47:21.8	-2.676
47:21.8	-2.129
47:21.8	-3.394
47:21.9	-2.888
47:21.9	-2.82
47:21.9	-2.825
47:21.9	-2.844
47:21.9	-3.63
47:21.9	-3.005
47:21.9	-2.473
47:21.9	-3.123
47:21.9	-2.28
47:21.9	-2.961
47:21.9	-2.754
47:22.0	-2.729
47:22.0	-2.573
47:22.0	-2.146
47:22.0	-2.737
47:22.0	-3.083
47:22.0	-2.759
47:22.0	-2.732
47:22.0	-2.847
47:22.0	-3.76
47:22.0	-3.14
47:22.0	-2.791
47:22.1	-3.333
47:22.1	-3.105
47:22.1	-3.726
47:22.1	-2.986
47:22.1	-2.656
47:22.1	-3.408
47:22.1	-2.729
47:22.1	-3.618
47:22.1	-3.118
47:22.1	-2.532
47:22.1	-2.908
47:22.2	-3.364
47:22.2	-3.677
47:22.2	-3.413
47:22.2	-2.561
47:22.2	-3.784
47:22.2	-3.645
47:22.2	-3.73
47:22.2	-3.252
47:22.2	-3.374
47:22.2	-3.701
47:22.2	-3.127
47:22.3	-3.669
47:22.3	-3.462
47:22.3	-2.939
47:22.3	-3.433
47:22.3	-3.442
47:22.3	-3.65
47:22.3	-3.152
47:22.3	-3.154
47:22.3	-3.835
47:22.3	-3.586
47:22.3	-3.708
47:22.4	-3.416
47:22.4	-3.245
47:22.4	-3.845
47:22.4	-3.452
47:22.4	-3.672
47:22.4	-3.633
47:22.4	-3.015
47:22.4	-3.513
47:22.4	-3.481
47:22.4	-3.54
47:22.4	-3.464
47:22.5	-2.6
47:22.5	-3.765
47:22.5	-3.713
47:22.5	-3.254
47:22.5	-3.545
47:22.5	-3.389
47:22.5	-3.787
47:22.5	-3.413
47:22.5	-3.276
47:22.5	-3.896
47:22.5	-3.342
47:22.6	-3.616
47:22.6	-3.689
47:22.6	-3.562
47:22.6	-3.188
47:22.6	-2.908
47:22.6	-3.84
47:22.6	-3.628
47:22.6	-3.403
47:22.6	-3.176
47:22.6	-3.225
47:22.6	-3.823
47:22.7	-3.694
47:22.7	-3.679
47:22.7	-3.779
47:22.7	-3.267
47:22.7	-3.538
47:22.7	-4.021
47:22.7	-3.911
47:22.7	-3.616
47:22.7	-2.905
47:22.7	-3.85
47:22.8	-3.943
47:22.8	-3.14
47:22.8	-3.447
47:22.8	-3.601
47:22.8	-3.706
47:22.8	-3.633
47:22.8	-3.372
47:22.8	-3.706
47:22.8	-3.423
47:22.8	-3.706
