Time - Voltage	Amplitude - Voltage
02:09.3	-2.205
02:09.3	-2.039
02:09.3	-2.246
02:09.4	-2.112
02:09.4	-1.992
02:09.4	-1.714
02:09.4	-1.562
02:09.4	-1.23
02:09.4	-1.174
02:09.4	-1.27
02:09.4	-1.438
02:09.4	-1.267
02:09.4	-1.169
02:09.5	-1.274
02:09.5	-1.191
02:09.5	-1.379
02:09.5	-1.421
02:09.5	-1.709
02:09.5	-1.567
02:09.5	-1.685
02:09.5	-1.76
02:09.5	-1.907
02:09.5	-1.726
02:09.5	-1.638
02:09.6	-1.731
02:09.6	-1.951
02:09.6	-2.136
02:09.6	-1.763
02:09.6	-1.443
02:09.6	-1.46
02:09.6	-1.748
02:09.6	-1.685
02:09.6	-1.86
02:09.6	-1.494
02:09.6	-1.636
02:09.7	-2.107
02:09.7	-2.471
02:09.7	-2.517
02:09.7	-1.987
02:09.7	-2.446
02:09.7	-2.659
02:09.7	-2.874
02:09.7	-2.319
02:09.7	-2.415
02:09.7	-2.08
02:09.7	-2.029
02:09.8	-2.036
02:09.8	-1.655
02:09.8	-1.67
02:09.8	-1.692
02:09.8	-1.914
02:09.8	-2.068
02:09.8	-1.582
02:09.8	-1.489
02:09.8	-1.814
02:09.8	-2.144
02:09.8	-3.018
02:09.9	-2.622
02:09.9	-2.275
02:09.9	-2.336
02:09.9	-2.585
02:09.9	-2.112
02:09.9	-1.357
02:09.9	-1.223
02:09.9	-1.479
02:09.9	-2.161
02:09.9	-2.622
02:10.0	-3.535
02:10.0	-3.704
02:10.0	-3.73
02:10.0	-3.743
02:10.0	-3.684
02:10.0	-3.655
02:10.0	-3.669
02:10.0	-3.572
02:10.0	-3.081
02:10.0	-2.744
02:10.0	-1.667
02:10.1	-1.243
02:10.1	-1.223
02:10.1	-1.304
02:10.1	-1.187
02:10.1	-1.089
02:10.1	-1.094
02:10.1	-1.487
02:10.1	-1.714
02:10.1	-1.985
02:10.1	-2.786
02:10.1	-3.186
02:10.2	-3.647
02:10.2	-3.704
02:10.2	-3.73
02:10.2	-3.726
02:10.2	-3.606
02:10.2	-3.125
02:10.2	-2.534
02:10.2	-1.521
02:10.2	-1.082
02:10.2	-1.101
02:10.2	-1.111
02:10.2	-1.096
02:10.3	-1.086
02:10.3	-1.167
02:10.3	-1.389
02:10.3	-1.975
02:10.3	-2.915
02:10.3	-3.535
02:10.3	-3.538
02:10.3	-3.547
02:10.3	-3.618
