Time - Voltage	Amplitude - Voltage
26:34.9	-1.238
26:34.9	-1.953
26:34.9	-2.468
26:34.9	-2.92
26:35.0	-3.743
26:35.0	-3.301
26:35.0	-2.988
26:35.0	-2.751
26:35.0	-2.515
26:35.0	-2.849
26:35.0	-3.154
26:35.0	-3.755
26:35.0	-3.682
26:35.0	-3.005
26:35.0	-2.317
26:35.1	-2.28
26:35.1	-1.892
26:35.1	-1.299
26:35.1	-1.606
26:35.1	-2.639
26:35.1	-3.025
26:35.1	-3.149
26:35.1	-3.416
26:35.1	-3.557
26:35.1	-2.673
26:35.1	-3.237
26:35.2	-3.008
26:35.2	-2.942
26:35.2	-3.643
26:35.2	-3.787
26:35.2	-3.77
26:35.2	-3.721
26:35.2	-3.372
26:35.2	-2.424
26:35.2	-2.4
26:35.2	-2.375
26:35.2	-1.562
26:35.3	-1.58
26:35.3	-2.615
26:35.3	-3.301
26:35.3	-3.379
26:35.3	-3.379
26:35.3	-3.596
26:35.3	-3.789
26:35.3	-3.621
26:35.3	-3.191
26:35.3	-3.069
26:35.4	-3.804
26:35.4	-3.687
26:35.4	-3.572
26:35.4	-3.464
26:35.4	-2.842
26:35.4	-1.873
26:35.4	-1.506
26:35.4	-1.543
26:35.4	-1.111
26:35.4	-1.348
26:35.4	-2.234
26:35.5	-2.913
26:35.5	-3.625
26:35.5	-3.567
26:35.5	-3.806
26:35.5	-3.792
26:35.5	-3.779
26:35.5	-3.657
26:35.5	-3.564
26:35.5	-3.762
26:35.5	-3.75
26:35.5	-3.782
26:35.6	-3.45
26:35.6	-3.064
26:35.6	-2.344
26:35.6	-2
26:35.6	-1.968
26:35.6	-1.882
26:35.6	-2.039
26:35.6	-2.5
26:35.6	-2.437
26:35.6	-3.484
26:35.6	-3.792
26:35.6	-3.748
26:35.7	-3.713
26:35.7	-3.728
26:35.7	-3.384
26:35.7	-3.523
26:35.7	-3.774
26:35.7	-3.521
26:35.7	-3.167
26:35.7	-2.039
26:35.7	-1.792
26:35.7	-1.841
26:35.8	-1.824
26:35.8	-1.418
26:35.8	-2.021
26:35.8	-2.708
26:35.8	-2.493
26:35.8	-2.866
26:35.8	-3.655
26:35.8	-3.804
26:35.8	-3.789
26:35.8	-3.694
26:35.8	-3.811
26:35.9	-3.811
26:35.9	-3.579
26:35.9	-3.242
26:35.9	-2.859
26:35.9	-2.686
26:35.9	-2.063
26:35.9	-2.346
26:35.9	-2.373
26:35.9	-2.104
26:35.9	-1.697
26:35.9	-1.926
26:36.0	-2.468
26:36.0	-2.551
26:36.0	-2.688
26:36.0	-3.423
26:36.0	-3.811
26:36.0	-3.721
26:36.0	-3.748
26:36.0	-3.616
26:36.0	-3.752
26:36.0	-3.564
26:36.0	-3.186
26:36.1	-2.791
26:36.1	-2.083
26:36.1	-1.594
26:36.1	-1.572
26:36.1	-1.826
26:36.1	-1.865
26:36.1	-1.589
26:36.1	-2.097
26:36.1	-2.876
26:36.1	-3.459
26:36.1	-3.665
26:36.2	-3.596
26:36.2	-3.74
26:36.2	-3.813
26:36.2	-3.757
26:36.2	-3.508
26:36.2	-3.091
26:36.2	-2.861
26:36.2	-3.027
26:36.2	-2.471
26:36.2	-1.858
26:36.3	-1.558
26:36.3	-1.812
26:36.3	-2.334
26:36.3	-2.258
26:36.3	-2.625
26:36.3	-2.505
26:36.3	-3.081
26:36.3	-3.44
26:36.3	-3.499
26:36.3	-3.477
26:36.3	-3.44
26:36.4	-3.037
26:36.4	-3.374
26:36.4	-3.459
26:36.4	-3.188
26:36.4	-2.773
26:36.4	-1.865
26:36.4	-1.831
26:36.4	-1.899
26:36.4	-1.565
26:36.4	-1.492
26:36.4	-2.114
26:36.5	-2.458
26:36.5	-2.559
26:36.5	-2.434
26:36.5	-2.786
26:36.5	-3.342
26:36.5	-3.489
26:36.5	-3.22
26:36.5	-2.859
26:36.5	-2.488
26:36.5	-2.185
26:36.5	-1.963
26:36.6	-1.582
26:36.6	-1.484
26:36.6	-1.323
26:36.6	-1.558
26:36.6	-1.394
26:36.6	-1.401
26:36.6	-1.27
26:36.6	-1.87
26:36.6	-2.063
26:36.6	-2.209
26:36.6	-2.644
26:36.7	-2.363
26:36.7	-2.317
26:36.7	-2.356
26:36.7	-2.546
26:36.7	-2.576
26:36.7	-1.855
26:36.7	-1.355
26:36.7	-1.88
26:36.7	-1.602
26:36.7	-1.135
26:36.7	-1.16
26:36.7	-1.233
26:36.8	-1.16
26:36.8	-1.184
26:36.8	-1.238
26:36.8	-1.477
26:36.8	-1.484
26:36.8	-1.699
26:36.8	-2.395
26:36.8	-2.297
26:36.8	-1.948
26:36.8	-1.829
26:36.9	-2.114
26:36.9	-2.385
26:36.9	-1.807
26:36.9	-1.187
26:36.9	-1.494
26:36.9	-1.226
26:36.9	-1.052
26:36.9	-1.328
26:36.9	-1.467
26:36.9	-1.333
26:36.9	-1.448
