Time - Voltage	Amplitude - Voltage
31:55.3	-3.242
31:55.3	-2.859
31:55.3	-2.729
31:55.3	-2.964
31:55.3	-2.703
31:55.3	-2.952
31:55.3	-3.447
31:55.3	-3.267
31:55.3	-3.235
31:55.4	-3.657
31:55.4	-3.767
31:55.4	-3.743
31:55.4	-3.625
31:55.4	-3.64
31:55.4	-3.508
31:55.4	-3.24
31:55.4	-3.486
31:55.4	-3.11
31:55.4	-2.507
31:55.4	-2.856
31:55.4	-3.145
31:55.5	-2.998
31:55.5	-2.874
31:55.5	-2.817
31:55.5	-3.389
31:55.5	-3.608
31:55.5	-3.63
31:55.5	-3.665
31:55.5	-3.635
31:55.5	-3.55
31:55.5	-3.564
31:55.5	-3.638
31:55.6	-3.613
31:55.6	-3.33
31:55.6	-2.91
31:55.6	-3.472
31:55.6	-3.352
31:55.6	-2.925
31:55.6	-2.71
31:55.6	-2.769
31:55.6	-3.008
31:55.6	-2.942
31:55.7	-2.605
31:55.7	-2.883
31:55.7	-3.271
31:55.7	-3.193
31:55.7	-3.242
31:55.7	-3.279
31:55.7	-3.325
31:55.7	-3.357
31:55.7	-3.435
31:55.7	-3.145
31:55.7	-2.83
31:55.8	-2.263
31:55.8	-2.805
31:55.8	-2.561
31:55.8	-2.041
31:55.8	-2.637
31:55.8	-2.798
31:55.8	-2.7
31:55.8	-2.92
31:55.8	-3.091
31:55.8	-2.983
31:55.8	-3.179
31:55.9	-3.201
31:55.9	-3.394
31:55.9	-2.908
31:55.9	-2.52
31:55.9	-2.81
31:55.9	-2.793
31:55.9	-2.874
31:55.9	-2.712
31:55.9	-2.349
31:55.9	-2.144
31:55.9	-3.098
31:56.0	-2.6
31:56.0	-2.463
31:56.0	-2.839
31:56.0	-3.071
31:56.0	-3.276
31:56.0	-3.372
31:56.0	-3.213
31:56.0	-3.108
31:56.0	-3.013
31:56.0	-3.306
31:56.0	-3.347
31:56.1	-2.634
31:56.1	-2.268
31:56.1	-2.388
31:56.1	-2.556
31:56.1	-2.593
31:56.1	-2.773
31:56.1	-2.393
31:56.1	-2.776
31:56.1	-3.284
31:56.1	-3.437
31:56.2	-3.057
31:56.2	-2.629
31:56.2	-3.281
31:56.2	-3.347
31:56.2	-3.179
31:56.2	-2.041
31:56.2	-2.415
31:56.2	-2.876
31:56.2	-2.952
31:56.2	-2.49
31:56.2	-2.542
31:56.3	-2.634
31:56.3	-2.59
31:56.3	-3.345
31:56.3	-3.259
31:56.3	-2.542
31:56.3	-2.129
31:56.3	-3.118
31:56.3	-3.418
31:56.3	-3.459
31:56.3	-2.952
31:56.3	-2.871
31:56.4	-2.795
31:56.4	-3.113
31:56.4	-3.062
31:56.4	-3.237
31:56.4	-2.964
31:56.4	-2.886
31:56.4	-3.223
31:56.4	-3.093
31:56.4	-2.983
31:56.4	-2.808
31:56.4	-3.223
31:56.5	-3.608
31:56.5	-3.691
31:56.5	-2.983
31:56.5	-2.654
31:56.5	-2.395
31:56.5	-2.471
31:56.5	-2.478
31:56.5	-2.783
31:56.5	-2.793
31:56.5	-2.876
31:56.5	-3.193
31:56.5	-3.276
31:56.6	-3.276
31:56.6	-2.385
31:56.6	-2.705
31:56.6	-3.433
31:56.6	-3.213
31:56.6	-2.202
31:56.6	-2.827
31:56.6	-3.157
31:56.6	-2.754
31:56.6	-2.705
31:56.7	-3.254
31:56.7	-3.728
31:56.7	-3.657
31:56.7	-3.777
31:56.7	-3.804
31:56.7	-3.247
31:56.7	-3.003
31:56.7	-3.45
31:56.7	-3.506
31:56.7	-3.14
31:56.7	-2.893
31:56.8	-3.562
31:56.8	-3.672
31:56.8	-3.42
31:56.8	-3.049
31:56.8	-3.132
31:56.8	-3.157
31:56.8	-3.149
31:56.8	-2.759
31:56.8	-2.783
31:56.8	-2.502
31:56.8	-2.151
31:56.9	-2.156
31:56.9	-2.056
31:56.9	-1.948
31:56.9	-2.429
31:56.9	-3.162
31:56.9	-3.027
31:56.9	-3.181
31:56.9	-2.832
31:56.9	-2.917
31:56.9	-2.764
31:56.9	-2.478
31:57.0	-2.195
31:57.0	-1.929
31:57.0	-1.755
31:57.0	-2.349
31:57.0	-2.898
31:57.0	-2.639
31:57.0	-2.644
31:57.0	-2.93
31:57.0	-3.74
31:57.0	-3.682
31:57.0	-3.381
31:57.1	-3.215
31:57.1	-3.208
31:57.1	-2.981
31:57.1	-2.754
31:57.1	-2.886
31:57.1	-2.798
31:57.1	-2.993
31:57.1	-3.088
31:57.1	-3.291
31:57.1	-3.369
31:57.2	-3.176
31:57.2	-2.957
31:57.2	-3.12
31:57.2	-3.054
31:57.2	-2.231
31:57.2	-1.938
31:57.2	-2.266
31:57.2	-2.646
31:57.2	-2.397
31:57.2	-2.495
31:57.2	-2.515
31:57.3	-2.8
31:57.3	-3.096
31:57.3	-3.455
31:57.3	-2.905
31:57.3	-2.764
31:57.3	-2.332
31:57.3	-3.232
31:57.3	-3.018
31:57.3	-1.951
31:57.3	-2.019
31:57.3	-2.883
31:57.4	-2.639
31:57.4	-2.356
31:57.4	-2.732
31:57.4	-2.556
31:57.4	-2.842
31:57.4	-2.715
31:57.4	-3.271
31:57.4	-2.966
31:57.4	-2.827
31:57.4	-3.411
31:57.4	-3.708
31:57.5	-3.428
31:57.5	-2.656
31:57.5	-2.51
31:57.5	-2.095
31:57.5	-1.985
31:57.5	-1.716
31:57.5	-1.924
31:57.5	-2.278
31:57.5	-2.883
31:57.5	-3.577
31:57.5	-3.613
31:57.6	-3.645
31:57.6	-3.425
31:57.6	-3.555
31:57.6	-3.516
31:57.6	-3.025
31:57.6	-2.239
31:57.6	-1.821
31:57.6	-1.484
31:57.6	-1.509
31:57.6	-1.978
31:57.7	-1.987
31:57.7	-2.344
31:57.7	-2.832
31:57.7	-3.23
31:57.7	-3.347
31:57.7	-2.488
31:57.7	-1.367
31:57.7	-1.089
31:57.7	-1.433
31:57.7	-1.633
31:57.7	-1.914
31:57.7	-1.926
31:57.8	-2.625
31:57.8	-2.852
31:57.8	-2.795
31:57.8	-3.174
31:57.8	-3.303
31:57.8	-3.12
31:57.8	-3.257
31:57.8	-2.62
31:57.8	-1.272
31:57.8	-1.343
31:57.8	-1.533
31:57.9	-1.743
31:57.9	-1.66
31:57.9	-1.995
31:57.9	-3.042
31:57.9	-3.218
31:57.9	-2.5
31:57.9	-2.222
31:57.9	-1.887
31:57.9	-1.904
31:57.9	-1.504
31:57.9	-1.401
31:58.0	-1.375
31:58.0	-1.191
31:58.0	-1.262
31:58.0	-1.743
31:58.0	-2.341
31:58.0	-2.019
31:58.0	-2.231
31:58.0	-2.51
31:58.0	-3.069
31:58.0	-2.334
31:58.1	-1.665
31:58.1	-1.465
31:58.1	-1.443
31:58.1	-1.575
31:58.1	-2.007
31:58.1	-2.778
31:58.1	-3.262
31:58.1	-3.625
31:58.1	-3.66
31:58.1	-3.391
31:58.1	-2.681
31:58.2	-2.148
31:58.2	-2.151
31:58.2	-1.804
31:58.2	-1.572
31:58.2	-1.665
31:58.2	-2.261
31:58.2	-2.524
31:58.2	-2.573
31:58.2	-2.769
31:58.2	-3.252
31:58.2	-3.274
31:58.3	-3.435
31:58.3	-3.184
31:58.3	-2.063
31:58.3	-1.174
31:58.3	-0.996
31:58.3	-1.233
31:58.3	-1.184
31:58.3	-1.152
31:58.3	-1.528
31:58.3	-2.622
31:58.3	-2.959
31:58.4	-2.927
31:58.4	-2.6
31:58.4	-2.158
31:58.4	-1.992
31:58.4	-2.029
31:58.4	-2.19
31:58.4	-1.946
31:58.4	-1.262
31:58.4	-1.44
31:58.4	-2.251
31:58.4	-2.153
31:58.5	-2.021
31:58.5	-2.773
31:58.5	-3.115
31:58.5	-3.179
31:58.5	-2.871
31:58.5	-2.129
31:58.5	-1.863
31:58.5	-1.326
31:58.5	-1.477
31:58.5	-2.087
31:58.6	-1.978
31:58.6	-2.09
31:58.6	-3.127
31:58.6	-3.437
31:58.6	-3.403
31:58.6	-2.642
31:58.6	-2.485
31:58.6	-3.096
31:58.6	-2.925
31:58.6	-2.207
31:58.6	-2.129
31:58.7	-2.197
31:58.7	-2.097
31:58.7	-2.104
31:58.7	-2.305
31:58.7	-2.603
31:58.7	-3.162
31:58.7	-3.364
31:58.7	-3.394
31:58.7	-3.057
31:58.7	-2.405
31:58.7	-2.476
31:58.8	-2.153
31:58.8	-2.307
31:58.8	-1.755
31:58.8	-1.926
31:58.8	-2.366
31:58.8	-2.532
31:58.8	-2.478
31:58.8	-2.805
31:58.8	-2.644
31:58.8	-1.982
31:58.8	-2.227
31:58.8	-2.275
31:58.9	-2.163
31:58.9	-1.658
31:58.9	-1.582
31:58.9	-1.824
31:58.9	-1.763
31:58.9	-1.743
