Time - Voltage	Amplitude - Voltage
52:42.0	-4.009
52:42.0	-3.064
52:42.1	-2.166
52:42.1	-1.453
52:42.1	-0.911
52:42.1	-0.708
52:42.1	-0.916
52:42.1	-1.05
52:42.1	-0.981
52:42.1	-0.681
52:42.1	-0.691
52:42.1	-0.994
52:42.1	-1.25
52:42.2	-2.175
52:42.2	-3.704
52:42.2	-4.197
52:42.2	-4.165
52:42.2	-4.092
52:42.2	-3.994
52:42.2	-3.716
52:42.2	-3.586
52:42.2	-2.473
52:42.2	-1.68
52:42.2	-1.013
52:42.3	-1.282
52:42.3	-0.833
52:42.3	-0.64
52:42.3	-0.825
52:42.3	-1.003
52:42.3	-1.299
52:42.3	-1.465
52:42.3	-2.08
52:42.3	-3.01
52:42.3	-4.019
52:42.3	-3.789
52:42.4	-3.867
52:42.4	-3.711
52:42.4	-3.159
52:42.4	-3.315
52:42.4	-3.306
52:42.4	-3.088
52:42.4	-3.123
52:42.4	-2.92
52:42.4	-2.627
52:42.4	-2.893
52:42.5	-1.895
52:42.5	-2.056
52:42.5	-2.136
52:42.5	-2.329
52:42.5	-2.51
52:42.5	-2.686
52:42.5	-3.013
52:42.5	-3.562
52:42.5	-3.643
52:42.5	-3.943
52:42.5	-4.148
52:42.6	-3.833
52:42.6	-3.596
52:42.6	-3.533
52:42.6	-2.749
52:42.6	-2.297
52:42.6	-1.223
52:42.6	-0.659
52:42.6	-0.645
52:42.6	-2.354
52:42.6	-2.598
52:42.6	-1.96
52:42.7	-1.128
52:42.7	-0.833
52:42.7	-4.204
52:42.7	-2.634
52:42.7	-2.117
52:42.7	-0.659
52:42.7	-4.216
52:42.7	-0.881
52:42.7	-3.979
52:42.7	-1.665
52:42.7	-1.721
52:42.8	-3.408
52:42.8	-4.211
52:42.8	-0.667
52:42.8	-1.763
52:42.8	-3.25
52:42.8	-3.386
52:42.8	-3.372
52:42.8	-1.99
52:42.8	-1.555
52:42.8	-4.194
52:42.8	-0.62
52:42.9	-0.962
52:42.9	-0.854
52:42.9	-1.443
52:42.9	-1.067
52:42.9	-0.774
52:42.9	-1.753
52:42.9	-3.54
52:42.9	-0.623
52:42.9	-0.654
52:42.9	-1.462
52:43.0	-1.57
52:43.0	-0.959
52:43.0	-0.608
52:43.0	-0.603
52:43.0	-3.787
52:43.0	-3.687
52:43.0	-0.798
52:43.0	-0.974
52:43.0	-1.604
52:43.0	-1.597
52:43.0	-2.139
52:43.0	-1.858
52:43.1	-1.313
52:43.1	-0.63
52:43.1	-3.191
52:43.1	-0.747
52:43.1	-2.593
52:43.1	-0.605
52:43.1	-3.508
52:43.1	-2.905
52:43.1	-1.636
52:43.1	-0.837
52:43.1	-0.828
52:43.2	-2.324
52:43.2	-1.089
52:43.2	-3.208
52:43.2	-3.97
52:43.2	-2.236
52:43.2	-1.667
52:43.2	-1.724
52:43.2	-3.179
52:43.2	-3.396
52:43.2	-3.877
52:43.2	-0.664
52:43.3	-2.627
52:43.3	-2.058
52:43.3	-3.428
52:43.3	-3.823
52:43.3	-3.193
52:43.3	-2.625
52:43.3	-3.875
52:43.3	-2.598
52:43.3	-3.064
52:43.3	-0.728
52:43.4	-1.453
52:43.4	-4.185
52:43.4	-1.084
52:43.4	-0.676
52:43.4	-0.686
52:43.4	-2.927
52:43.4	-2.078
52:43.4	-0.925
52:43.4	-1.052
52:43.4	-3.843
52:43.4	-2.395
52:43.5	-4.143
52:43.5	-3.396
52:43.5	-0.774
52:43.5	-0.752
52:43.5	-4.119
52:43.5	-1.082
52:43.5	-3.032
52:43.5	-3.386
52:43.5	-3.828
52:43.5	-0.901
52:43.5	-0.613
52:43.6	-1.213
52:43.6	-3.433
52:43.6	-3.159
52:43.6	-1.982
52:43.6	-1.458
52:43.6	-3.24
52:43.6	-1.165
52:43.6	-3.945
52:43.6	-4.133
52:43.6	-4.084
52:43.6	-4.116
52:43.7	-2.029
52:43.7	-1.543
52:43.7	-0.964
52:43.7	-1.375
52:43.7	-3.108
52:43.7	-0.996
52:43.7	-0.811
52:43.7	-2.466
52:43.7	-3.225
52:43.7	-4.216
52:43.7	-2.72
52:43.8	-1.416
52:43.8	-1.777
52:43.8	-3.921
52:43.8	-3.232
52:43.8	-1.733
52:43.8	-3.459
52:43.8	-3.247
52:43.8	-1.672
52:43.8	-1.831
52:43.8	-0.649
52:43.8	-0.613
52:43.9	-4.221
52:43.9	-3.362
52:43.9	-3.281
52:43.9	-3.374
52:43.9	-4.202
52:43.9	-3.806
52:43.9	-1.794
52:43.9	-0.725
52:43.9	-3.171
52:43.9	-0.715
52:44.0	-2.166
52:44.0	-3.352
52:44.0	-3.662
52:44.0	-3.11
52:44.0	-0.82
52:44.0	-1.296
52:44.0	-2.834
52:44.0	-3.936
52:44.0	-0.669
52:44.0	-1.787
52:44.0	-2.346
52:44.1	-1.868
52:44.1	-1.882
52:44.1	-1.064
52:44.1	-0.625
52:44.1	-1.431
52:44.1	-3.628
52:44.1	-2.175
52:44.1	-4.021
52:44.1	-0.784
52:44.1	-0.679
52:44.1	-0.986
52:44.1	-1.401
52:44.2	-3.252
52:44.2	-4.185
52:44.2	-0.696
52:44.2	-3.442
52:44.2	-2.937
52:44.2	-0.823
52:44.2	-0.608
52:44.2	-0.769
52:44.2	-1.067
52:44.2	-1.035
52:44.2	-2.49
52:44.3	-4.214
52:44.3	-2.898
52:44.3	-1.333
52:44.3	-4.199
52:44.3	-3.613
52:44.3	-4.077
52:44.3	-4.133
52:44.3	-2.944
52:44.3	-2.734
52:44.3	-0.842
