Time - Voltage	Amplitude - Voltage
47:08.4	-1.174
47:08.5	-1.494
47:08.5	-1.538
47:08.5	-1.321
47:08.5	-1.309
47:08.5	-1.746
47:08.5	-2.144
47:08.5	-2.058
47:08.5	-2.253
47:08.5	-2.078
47:08.5	-2.109
47:08.5	-1.89
47:08.6	-2.368
47:08.6	-1.978
47:08.6	-1.611
47:08.6	-1.438
47:08.6	-1.931
47:08.6	-1.885
47:08.6	-1.523
47:08.6	-1.902
47:08.6	-1.882
47:08.6	-2.214
47:08.6	-2.266
47:08.7	-2.29
47:08.7	-2.139
47:08.7	-2.151
47:08.7	-2.168
47:08.7	-2.314
47:08.7	-2.068
47:08.7	-1.536
47:08.7	-1.531
47:08.7	-1.982
47:08.7	-2.229
47:08.7	-1.843
47:08.8	-1.714
47:08.8	-2.083
47:08.8	-2.551
47:08.8	-2.483
47:08.8	-2.593
47:08.8	-2.529
47:08.8	-2.793
47:08.8	-2.617
47:08.8	-3.064
47:08.8	-3.108
47:08.8	-2.712
47:08.9	-2.556
47:08.9	-3.057
47:08.9	-2.849
47:08.9	-2.437
47:08.9	-2.483
47:08.9	-2.637
47:08.9	-2.825
47:08.9	-2.456
47:08.9	-2.354
47:08.9	-2.09
47:09.0	-2.463
47:09.0	-2.891
47:09.0	-2.625
47:09.0	-2.517
47:09.0	-2.734
47:09.0	-3.081
47:09.0	-3.149
47:09.0	-2.8
47:09.0	-2.678
47:09.0	-2.512
47:09.0	-2.327
47:09.1	-2.249
47:09.1	-2.061
47:09.1	-1.804
47:09.1	-1.807
47:09.1	-2
47:09.1	-2.385
47:09.1	-2.722
47:09.1	-2.092
47:09.1	-2.039
47:09.1	-2.502
47:09.1	-2.896
47:09.2	-2.485
47:09.2	-2.371
47:09.2	-2.427
47:09.2	-2.642
47:09.2	-2.537
47:09.2	-2.517
47:09.2	-2.48
47:09.2	-2.522
47:09.2	-2.534
47:09.2	-2.344
47:09.2	-2.446
47:09.3	-1.853
47:09.3	-1.58
47:09.3	-1.746
47:09.3	-1.506
47:09.3	-1.34
47:09.3	-1.367
47:09.3	-1.841
47:09.3	-2.493
47:09.3	-2.39
47:09.3	-2.08
47:09.3	-2.563
47:09.4	-2.544
47:09.4	-2.988
47:09.4	-2.656
47:09.4	-2.751
47:09.4	-2.283
47:09.4	-2.166
47:09.4	-2.207
47:09.4	-2.812
47:09.4	-2.908
47:09.4	-2.317
47:09.5	-2.205
47:09.5	-2.268
47:09.5	-2.019
47:09.5	-1.538
47:09.5	-1.216
47:09.5	-1.155
47:09.5	-1.411
47:09.5	-1.375
47:09.5	-1.548
47:09.5	-1.746
47:09.5	-2.583
47:09.5	-2.856
47:09.6	-3.574
47:09.6	-3.501
47:09.6	-3.462
47:09.6	-3.401
47:09.6	-2.742
47:09.6	-2.322
47:09.6	-1.389
47:09.6	-1.15
47:09.6	-1.147
47:09.6	-1.172
47:09.6	-1.235
47:09.7	-1.384
47:09.7	-1.526
47:09.7	-2.141
47:09.7	-2.585
47:09.7	-2.644
47:09.7	-2.844
47:09.7	-2.368
47:09.7	-2.612
47:09.7	-2.405
47:09.7	-2.209
47:09.7	-1.438
47:09.8	-1.406
47:09.8	-1.343
47:09.8	-1.399
47:09.8	-1.284
47:09.8	-1.174
47:09.8	-1.194
47:09.8	-1.27
47:09.8	-1.279
47:09.8	-1.201
47:09.8	-1.15
47:09.9	-1.167
47:09.9	-1.245
47:09.9	-1.255
47:09.9	-1.484
47:09.9	-2.014
47:09.9	-2.266
47:09.9	-2.241
47:09.9	-2.285
47:09.9	-1.887
47:09.9	-1.997
47:09.9	-1.57
47:10.0	-1.262
47:10.0	-1.294
47:10.0	-1.16
47:10.0	-1.189
47:10.0	-1.145
47:10.0	-1.411
47:10.0	-1.443
47:10.0	-1.636
47:10.0	-1.416
47:10.0	-2.461
47:10.0	-2.849
47:10.1	-2.251
47:10.1	-2.258
47:10.1	-2.166
47:10.1	-1.621
47:10.1	-1.509
47:10.1	-1.494
47:10.1	-1.311
47:10.1	-1.201
47:10.1	-1.167
47:10.1	-1.25
47:10.1	-1.206
47:10.2	-1.15
47:10.2	-1.199
47:10.2	-1.436
47:10.2	-1.567
47:10.2	-1.453
47:10.2	-1.423
47:10.2	-1.575
47:10.2	-1.975
47:10.2	-2.131
47:10.2	-1.968
47:10.3	-1.985
47:10.3	-1.829
47:10.3	-1.853
47:10.3	-1.736
47:10.3	-1.599
47:10.3	-1.221
47:10.3	-1.196
47:10.3	-1.226
47:10.3	-1.184
47:10.3	-1.179
47:10.3	-1.155
47:10.4	-1.184
47:10.4	-1.294
47:10.4	-1.401
47:10.4	-1.313
47:10.4	-1.482
47:10.4	-1.462
47:10.4	-1.531
47:10.4	-1.628
47:10.4	-1.284
47:10.4	-1.221
47:10.4	-1.169
47:10.5	-1.182
47:10.5	-1.187
47:10.5	-1.226
47:10.5	-1.238
47:10.5	-1.16
47:10.5	-1.162
47:10.5	-1.189
47:10.5	-1.189
47:10.5	-1.177
47:10.5	-1.25
47:10.5	-1.318
47:10.6	-1.306
47:10.6	-1.24
47:10.6	-1.169
47:10.6	-1.165
47:10.6	-1.216
47:10.6	-1.152
47:10.6	-1.147
47:10.6	-1.147
47:10.6	-1.135
47:10.6	-1.177
47:10.6	-1.279
47:10.6	-1.16
47:10.7	-1.191
47:10.7	-1.213
47:10.7	-1.455
47:10.7	-2.012
47:10.7	-1.628
47:10.7	-1.824
47:10.7	-1.97
47:10.7	-2.141
47:10.7	-2.126
47:10.7	-1.941
47:10.7	-1.843
47:10.8	-2
47:10.8	-1.724
47:10.8	-1.514
47:10.8	-1.624
47:10.8	-1.191
47:10.8	-1.228
47:10.8	-1.453
47:10.8	-1.587
47:10.8	-1.494
47:10.8	-1.509
47:10.9	-1.558
47:10.9	-2.234
47:10.9	-1.885
47:10.9	-1.606
47:10.9	-1.677
47:10.9	-1.819
47:10.9	-1.492
47:10.9	-1.431
47:10.9	-1.35
47:10.9	-1.328
47:10.9	-1.487
47:11.0	-1.306
47:11.0	-1.406
47:11.0	-1.262
47:11.0	-1.174
47:11.0	-1.191
47:11.0	-1.282
47:11.0	-1.333
47:11.0	-1.304
47:11.0	-1.25
47:11.0	-1.396
47:11.0	-1.753
47:11.1	-1.663
47:11.1	-1.438
47:11.1	-1.289
47:11.1	-1.45
47:11.1	-1.536
47:11.1	-1.301
47:11.1	-1.262
47:11.1	-1.177
47:11.1	-1.216
47:11.1	-1.333
47:11.1	-1.409
47:11.2	-1.343
47:11.2	-1.501
47:11.2	-1.372
47:11.2	-1.824
47:11.2	-2.397
47:11.2	-2.256
47:11.2	-1.924
47:11.2	-1.936
47:11.2	-2.368
47:11.2	-2.383
47:11.2	-1.677
47:11.3	-1.45
47:11.3	-1.509
47:11.3	-1.328
47:11.3	-1.357
47:11.3	-1.313
47:11.3	-1.321
47:11.3	-1.216
47:11.3	-1.389
47:11.3	-1.34
47:11.3	-1.277
47:11.4	-1.309
47:11.4	-1.387
47:11.4	-1.436
47:11.4	-1.626
47:11.4	-1.345
47:11.4	-1.238
47:11.4	-1.345
47:11.4	-1.628
47:11.4	-1.511
47:11.4	-1.182
47:11.4	-1.248
47:11.5	-1.36
47:11.5	-1.294
47:11.5	-1.414
47:11.5	-1.162
47:11.5	-1.233
47:11.5	-1.328
47:11.5	-1.531
47:11.5	-1.604
47:11.5	-1.455
47:11.5	-1.682
47:11.5	-2.043
47:11.6	-2.056
47:11.6	-1.89
47:11.6	-1.655
47:11.6	-1.882
47:11.6	-2.097
47:11.6	-1.711
47:11.6	-1.489
47:11.6	-1.616
47:11.6	-1.47
47:11.6	-1.621
47:11.6	-1.807
47:11.7	-1.787
47:11.7	-1.536
47:11.7	-1.47
47:11.7	-1.567
47:11.7	-1.88
47:11.7	-2.048
47:11.7	-1.726
47:11.7	-2.004
47:11.7	-2.275
47:11.7	-1.987
47:11.7	-1.724
47:11.8	-1.555
47:11.8	-1.787
47:11.8	-2.007
47:11.8	-1.538
47:11.8	-1.472
47:11.8	-1.624
47:11.8	-1.599
47:11.8	-1.816
47:11.8	-2.234
47:11.8	-1.919
47:11.8	-2.109
47:11.9	-2.222
47:11.9	-2.488
47:11.9	-2.681
47:11.9	-2.08
47:11.9	-2.129
47:11.9	-2.302
47:11.9	-2.422
47:11.9	-2.112
47:11.9	-1.587
47:11.9	-1.484
47:11.9	-1.755
47:12.0	-2.002
47:12.0	-1.816
47:12.0	-1.501
47:12.0	-1.528
47:12.0	-2.107
47:12.0	-2.239
47:12.0	-2.061
47:12.0	-2.085
47:12.0	-2.415
47:12.0	-2.441
47:12.0	-2.271
47:12.1	-1.98
47:12.1	-2.158
47:12.1	-2.073
47:12.1	-1.963
47:12.1	-2.478
47:12.1	-1.765
47:12.1	-1.477
47:12.1	-1.75
47:12.1	-2.285
47:12.1	-2.346
47:12.1	-1.938
47:12.2	-1.46
47:12.2	-1.912
47:12.2	-2.324
47:12.2	-2.187
47:12.2	-2.234
47:12.2	-2.085
47:12.2	-2.39
47:12.2	-2.236
47:12.2	-2.512
47:12.2	-2.327
47:12.3	-1.941
47:12.3	-1.541
47:12.3	-2.285
47:12.3	-2.075
47:12.3	-1.597
47:12.3	-1.829
47:12.3	-1.975
47:12.3	-2.183
47:12.3	-1.846
47:12.3	-1.89
47:12.3	-2.153
47:12.4	-2.244
47:12.4	-2.241
47:12.4	-2.776
47:12.4	-2.476
47:12.4	-1.689
47:12.4	-1.731
47:12.4	-2.498
47:12.4	-2.463
47:12.4	-1.665
47:12.4	-1.594
47:12.4	-2.217
47:12.5	-2.231
47:12.5	-1.931
47:12.5	-1.853
47:12.5	-2.07
47:12.5	-2.222
47:12.5	-1.992
47:12.5	-2.019
47:12.5	-1.98
47:12.5	-2.1
47:12.5	-2.373
47:12.5	-2.681
47:12.6	-2.51
47:12.6	-1.865
47:12.6	-2.095
47:12.6	-2.585
47:12.6	-2.261
47:12.6	-1.665
47:12.6	-2.031
47:12.6	-2.148
47:12.6	-2.419
47:12.6	-2.468
47:12.6	-2.212
47:12.7	-2.256
47:12.7	-2.488
47:12.7	-2.632
47:12.7	-2.839
47:12.7	-2.549
47:12.7	-2.275
47:12.7	-2.202
47:12.7	-2.913
47:12.7	-2.59
47:12.7	-2.129
47:12.8	-2.156
47:12.8	-2.261
47:12.8	-2.583
47:12.8	-2.009
47:12.8	-2.339
47:12.8	-2.249
47:12.8	-1.943
47:12.8	-2.349
47:12.8	-2.661
47:12.8	-2.002
47:12.8	-2.083
47:12.9	-2.876
47:12.9	-3.081
47:12.9	-2.478
47:12.9	-2.048
47:12.9	-2.266
47:12.9	-2.798
47:12.9	-2.351
47:12.9	-2.288
47:12.9	-2.593
47:12.9	-1.76
47:12.9	-1.729
47:12.9	-1.89
47:13.0	-2.59
47:13.0	-2.075
47:13.0	-1.88
47:13.0	-2.024
47:13.0	-2.83
47:13.0	-2.068
47:13.0	-1.658
47:13.0	-2.471
47:13.0	-2.737
47:13.0	-2.739
47:13.0	-2.185
47:13.1	-2.229
47:13.1	-2.278
47:13.1	-2.629
47:13.1	-2.659
47:13.1	-2.559
47:13.1	-1.938
47:13.1	-1.895
47:13.1	-2.593
47:13.1	-2.822
47:13.1	-2.112
47:13.2	-1.917
47:13.2	-2.654
47:13.2	-2.644
47:13.2	-2.896
47:13.2	-2.485
47:13.2	-2.661
47:13.2	-2.356
47:13.2	-2.297
47:13.2	-2.549
47:13.2	-2.729
47:13.2	-2.3
47:13.3	-2.344
47:13.3	-2.542
47:13.3	-2.415
47:13.3	-2.263
47:13.3	-2.024
47:13.3	-2.412
47:13.3	-2.473
47:13.3	-2.141
47:13.3	-1.848
47:13.3	-2.38
47:13.3	-2.524
47:13.4	-2.634
47:13.4	-2.522
47:13.4	-2.351
47:13.4	-2.583
47:13.4	-2.571
47:13.4	-2.886
47:13.4	-2.72
47:13.4	-2.595
47:13.4	-2.224
47:13.4	-2.668
47:13.4	-2.471
47:13.5	-2.395
47:13.5	-2.49
47:13.5	-2.385
47:13.5	-2.439
47:13.5	-2.734
47:13.5	-2.434
47:13.5	-2.776
47:13.5	-2.419
47:13.5	-2.354
47:13.5	-3.059
47:13.5	-2.49
47:13.6	-2.466
47:13.6	-2.334
47:13.6	-2.397
47:13.6	-2.339
47:13.6	-2.114
47:13.6	-1.76
47:13.6	-2.095
47:13.6	-2.078
47:13.6	-2.122
47:13.6	-2.268
47:13.6	-1.794
47:13.7	-1.621
47:13.7	-1.938
47:13.7	-2.336
47:13.7	-2.097
47:13.7	-2.092
47:13.7	-1.86
47:13.7	-2.312
47:13.7	-2.314
47:13.7	-1.746
47:13.7	-1.665
47:13.8	-1.953
47:13.8	-1.953
47:13.8	-2.075
47:13.8	-1.721
47:13.8	-1.584
47:13.8	-1.814
47:13.8	-2.1
47:13.8	-1.931
47:13.8	-1.711
47:13.8	-1.76
47:13.8	-2.109
47:13.9	-2.114
47:13.9	-2.322
47:13.9	-1.858
47:13.9	-1.746
47:13.9	-2.048
47:13.9	-2.219
47:13.9	-2.075
47:13.9	-1.775
47:13.9	-1.833
47:13.9	-1.755
47:13.9	-1.936
47:14.0	-2.046
47:14.0	-1.934
47:14.0	-1.794
47:14.0	-1.787
47:14.0	-2.166
47:14.0	-2.156
47:14.0	-1.887
47:14.0	-1.838
47:14.0	-2.278
47:14.0	-2.068
47:14.0	-2.187
47:14.0	-1.741
47:14.1	-1.914
47:14.1	-2.009
47:14.1	-2.251
47:14.1	-2.129
47:14.1	-1.689
47:14.1	-1.553
47:14.1	-1.714
47:14.1	-2.314
47:14.1	-2.026
47:14.1	-1.628
47:14.2	-1.758
47:14.2	-2.405
47:14.2	-2.222
47:14.2	-2.156
47:14.2	-2.17
47:14.2	-1.997
47:14.2	-2.09
47:14.2	-2.185
47:14.2	-2.283
47:14.2	-2.273
47:14.2	-1.958
47:14.3	-2.136
47:14.3	-2.451
47:14.3	-1.909
47:14.3	-2.109
47:14.3	-2.214
47:14.3	-2.2
47:14.3	-2.351
47:14.3	-2.412
47:14.3	-2.112
47:14.3	-2.249
47:14.3	-2.251
47:14.4	-2.429
47:14.4	-2.766
47:14.4	-2.104
47:14.4	-1.946
47:14.4	-2.097
47:14.4	-2.539
47:14.4	-2.222
47:14.4	-1.865
47:14.4	-1.689
47:14.4	-2.544
47:14.4	-2.239
47:14.5	-1.804
47:14.5	-2.107
47:14.5	-2.29
47:14.5	-2.39
47:14.5	-2.095
47:14.5	-2.52
47:14.5	-2.175
47:14.5	-2.434
47:14.5	-2.183
47:14.5	-2.39
47:14.5	-2.307
47:14.6	-2.046
47:14.6	-2.024
47:14.6	-2.471
47:14.6	-2.507
47:14.6	-1.907
47:14.6	-2.095
47:14.6	-2.253
47:14.6	-2.832
47:14.6	-2.551
47:14.6	-2.505
47:14.7	-2.429
47:14.7	-2.571
47:14.7	-2.661
47:14.7	-2.72
47:14.7	-2.563
47:14.7	-2.405
47:14.7	-2.378
47:14.7	-2.678
47:14.7	-2.881
47:14.7	-2.256
47:14.7	-2.361
47:14.8	-2.49
47:14.8	-2.666
47:14.8	-2.576
47:14.8	-2.236
47:14.8	-2.141
47:14.8	-2.466
47:14.8	-2.625
47:14.8	-2.903
47:14.8	-2.629
47:14.8	-2.371
47:14.8	-2.48
47:14.9	-2.681
47:14.9	-2.644
47:14.9	-2.314
47:14.9	-2.239
47:14.9	-2.627
47:14.9	-2.876
47:14.9	-2.598
47:14.9	-2.468
47:14.9	-2.612
47:14.9	-2.852
47:14.9	-2.92
47:15.0	-2.607
47:15.0	-2.695
47:15.0	-2.583
47:15.0	-2.729
47:15.0	-2.534
47:15.0	-2.874
47:15.0	-2.5
47:15.0	-2.451
47:15.0	-2.859
47:15.0	-2.949
47:15.0	-2.642
47:15.1	-2.673
47:15.1	-2.659
47:15.1	-2.61
47:15.1	-2.852
47:15.1	-3.171
47:15.1	-2.957
47:15.1	-2.588
47:15.1	-3.098
47:15.1	-3.135
47:15.1	-2.712
47:15.1	-2.659
47:15.2	-2.59
47:15.2	-3.132
47:15.2	-2.927
47:15.2	-2.778
47:15.2	-2.798
47:15.2	-2.646
47:15.2	-2.742
47:15.2	-3.032
47:15.2	-3.118
47:15.2	-2.642
47:15.2	-2.878
47:15.3	-2.761
47:15.3	-3.213
47:15.3	-3.076
47:15.3	-2.366
47:15.3	-2.769
47:15.3	-3.281
47:15.3	-2.969
47:15.3	-2.588
47:15.3	-3.12
47:15.3	-3.14
47:15.3	-3.015
47:15.4	-2.483
47:15.4	-3.025
47:15.4	-3.027
47:15.4	-2.734
47:15.4	-2.971
47:15.4	-3.074
47:15.4	-2.561
47:15.4	-2.083
