Time - Voltage	Amplitude - Voltage
11:43.9	-2.085
11:43.9	-2.869
11:43.9	-2.681
11:43.9	-2.185
11:44.0	-2.268
11:44.0	-2.192
11:44.0	-3.242
11:44.0	-2.925
11:44.0	-2.478
11:44.1	-2.073
11:44.1	-2.427
11:44.1	-2.104
11:44.1	-2.827
11:44.1	-2.302
11:44.1	-3.511
11:44.2	-3.191
11:44.2	-3.162
11:44.2	-2.91
11:44.2	-2.136
11:44.2	-2.681
11:44.2	-2.729
11:44.3	-2.273
11:44.3	-3.218
11:44.3	-3.147
11:44.3	-2.681
11:44.3	-3.079
11:44.4	-2.041
11:44.4	-2.678
11:44.4	-2.749
11:44.4	-2.568
11:44.4	-2.827
11:44.5	-3.298
11:44.5	-2.559
11:44.5	-3.303
11:44.5	-1.875
11:44.5	-2.417
11:44.5	-2.632
11:44.6	-2.407
11:44.6	-2.847
11:44.6	-2.083
11:44.6	-2.305
11:44.6	-2.856
11:44.7	-2.007
11:44.7	-2.327
11:44.7	-2.996
11:44.7	-2.446
11:44.7	-2.979
11:44.8	-1.843
11:44.8	-2.305
11:44.8	-3.091
11:44.8	-1.968
11:44.8	-2.881
11:44.8	-3.447
11:44.9	-2.839
11:44.9	-3.12
11:44.9	-1.997
11:44.9	-2.456
11:44.9	-2.908
11:45.0	-3.342
11:45.0	-3.665
11:45.0	-3.643
11:45.0	-2.993
11:45.0	-3.032
11:45.0	-2.236
11:45.1	-1.99
11:45.1	-3.567
11:45.1	-3.02
11:45.1	-3.53
11:45.1	-2.583
11:45.2	-2.539
11:45.2	-2.788
11:45.2	-2.617
11:45.2	-2.549
11:45.2	-3.547
11:45.2	-2.976
11:45.3	-2.944
11:45.3	-3.083
11:45.3	-2.261
11:45.3	-3.625
11:45.3	-2.7
11:45.3	-2.593
11:45.4	-3.533
11:45.4	-2.817
11:45.4	-2.49
11:45.4	-3.108
11:45.4	-2.793
11:45.5	-3.56
11:45.5	-2.681
11:45.5	-2.646
11:45.5	-2.729
11:45.5	-3.003
11:45.5	-2.197
11:45.6	-2.773
11:45.6	-2.668
11:45.6	-3.091
11:45.6	-3.145
11:45.6	-2.834
11:45.7	-2.678
11:45.7	-2.607
11:45.7	-3.022
11:45.7	-2.312
11:45.7	-2.957
11:45.7	-2.812
11:45.8	-3.145
11:45.8	-3.098
11:45.8	-2.903
11:45.8	-2.173
11:45.8	-2.524
11:45.9	-2.874
11:45.9	-3.191
11:45.9	-2.51
11:45.9	-3.14
11:45.9	-3.398
11:45.9	-2.722
11:46.0	-2.231
11:46.0	-1.423
11:46.0	-2.659
11:46.0	-3.372
11:46.0	-3.069
11:46.1	-3.787
11:46.1	-3.604
11:46.1	-2.81
11:46.1	-0.771
11:46.1	-1.44
11:46.1	-1.287
11:46.2	-3.362
11:46.2	-3.662
11:46.2	-2.654
11:46.2	-1.577
11:46.2	-1.802
11:46.2	-1.934
11:46.3	-1.782
11:46.3	-2.551
11:46.3	-3.276
11:46.3	-1.479
11:46.3	-1.384
11:46.4	-1.562
11:46.4	-2.827
11:46.4	-3.691
11:46.4	-2.795
11:46.4	-1.731
11:46.4	-1.208
11:46.5	-1.589
11:46.5	-2.131
11:46.5	-2.939
11:46.5	-3.359
11:46.6	-1.375
11:46.6	-1.289
11:46.6	-1.77
11:46.6	-1.421
11:46.6	-2.148
11:46.6	-3.513
11:46.7	-2.898
11:46.7	-2.471
11:46.7	-2.217
11:46.7	-1.768
11:46.7	-3.635
11:46.8	-3.789
11:46.8	-3.369
11:46.8	-3.04
11:46.8	-2.949
11:46.8	-3.25
11:46.8	-2.646
11:46.9	-3.154
11:46.9	-3.552
11:46.9	-1.836
11:46.9	-2.493
11:46.9	-3.403
11:47.0	-2.581
11:47.0	-3.618
11:47.0	-3.308
11:47.0	-3.135
11:47.0	-3.86
11:47.0	-3.22
11:47.1	-2.561
