Time - Voltage	Amplitude - Voltage
33:07.9	-2.803
33:08.0	-2.065
33:08.0	-1.479
33:08.1	-1.831
33:08.1	-2.466
33:08.2	-3.335
33:08.2	-2.649
33:08.3	-2.556
33:08.3	-3.098
33:08.4	-3.12
33:08.4	-2.524
33:08.4	-2.432
33:08.5	-2.717
33:08.5	-3.33
33:08.6	-1.541
33:08.6	-3.342
33:08.7	-3.14
33:08.7	-1.157
33:08.8	-3.064
33:08.8	-3.406
33:08.8	-2.661
33:08.9	-3.396
33:08.9	-2.61
33:09.0	-1.311
33:09.0	-2.156
33:09.1	-1.689
33:09.1	-2.732
33:09.2	-3.069
33:09.2	-3.11
33:09.3	-2.874
33:09.3	-1.099
33:09.3	-1.172
33:09.4	-1.531
33:09.4	-2.407
33:09.5	-1.111
33:09.5	-2.842
33:09.6	-3.325
33:09.6	-1.145
33:09.7	-2.478
33:09.7	-1.367
33:09.7	-1.101
33:09.8	-1.145
33:09.8	-1.68
33:09.9	-1.099
33:09.9	-1.294
33:10.0	-1.941
33:10.0	-2.246
33:10.1	-1.926
33:10.1	-1.169
33:10.2	-2.185
33:10.2	-2.983
33:10.2	-3.337
33:10.3	-1.206
33:10.3	-2.715
33:10.4	-3.059
33:10.4	-2.139
33:10.5	-2.051
33:10.5	-2.334
33:10.6	-2.646
33:10.6	-1.187
33:10.6	-1.108
33:10.7	-3.394
33:10.7	-3.323
33:10.8	-2.454
33:10.8	-3.267
33:10.9	-3.054
33:10.9	-2.185
33:11.0	-2.578
33:11.0	-2.905
33:11.1	-2.561
33:11.1	-2.412
33:11.2	-2.078
33:11.2	-3.374
33:11.2	-2.446
33:11.3	-2.307
33:11.3	-3.213
33:11.4	-1.846
33:11.4	-2.986
33:11.5	-3.203
33:11.6	-3.379
33:11.6	-3.391
33:11.6	-3.088
33:11.7	-3.052
33:11.7	-2.568
33:11.8	-2.424
33:11.8	-1.157
33:11.9	-2.798
33:11.9	-1.741
33:12.0	-2.805
33:12.0	-3.235
33:12.0	-3.003
33:12.1	-2.749
33:12.1	-2.542
33:12.2	-3.149
33:12.2	-3.416
33:12.3	-1.353
33:12.3	-1.604
33:12.4	-2.417
33:12.4	-3.101
33:12.5	-3.345
33:12.5	-3.167
33:12.5	-3.262
33:12.6	-2.732
33:12.6	-1.98
