Time - Voltage	Amplitude - Voltage
55:15.8	-0.645
55:15.8	-0.488
55:15.8	-0.41
55:15.8	-0.42
55:15.8	-0.461
55:15.8	-0.417
55:15.8	-0.647
55:15.8	-0.454
55:15.8	-0.483
55:15.9	-0.43
55:15.9	-0.464
55:15.9	-0.491
55:15.9	-0.435
55:15.9	-0.427
55:15.9	-0.735
55:15.9	-0.461
55:15.9	-0.449
55:15.9	-0.862
55:15.9	-0.447
55:15.9	-0.449
55:16.0	-0.64
55:16.0	-0.75
55:16.0	-0.818
55:16.0	-0.508
55:16.0	-0.525
55:16.0	-1.453
55:16.0	-1.13
55:16.0	-0.823
55:16.0	-1.367
55:16.0	-1.187
55:16.0	-1.646
55:16.1	-1.165
55:16.1	-1.072
55:16.1	-0.671
55:16.1	-0.508
55:16.1	-0.842
55:16.1	-1.121
55:16.1	-0.586
55:16.1	-0.713
55:16.1	-1.06
55:16.1	-1.335
55:16.1	-0.847
55:16.2	-0.803
55:16.2	-0.579
55:16.2	-0.764
55:16.2	-1.069
55:16.2	-0.703
55:16.2	-0.73
55:16.2	-0.498
55:16.2	-0.72
55:16.2	-0.793
55:16.2	-0.874
55:16.2	-0.552
55:16.3	-0.591
55:16.3	-1.047
55:16.3	-1.516
55:16.3	-0.989
55:16.3	-0.62
55:16.3	-1.008
55:16.3	-1.121
55:16.3	-0.964
55:16.3	-0.962
55:16.3	-1.257
55:16.3	-1.375
55:16.4	-1.848
55:16.4	-1.777
55:16.4	-1.685
55:16.4	-0.967
55:16.4	-1.445
55:16.4	-1.951
55:16.4	-1.865
55:16.4	-0.447
55:16.4	-0.864
55:16.4	-1.843
55:16.5	-1.411
55:16.5	-0.847
55:16.5	-0.994
55:16.5	-1.621
55:16.5	-1.475
55:16.5	-2.185
55:16.5	-1.804
55:16.5	-1.479
55:16.5	-1.113
55:16.5	-1.252
55:16.5	-1.638
55:16.6	-1.682
55:16.6	-0.999
55:16.6	-1.353
55:16.6	-1.978
55:16.6	-1.982
55:16.6	-2.107
55:16.6	-1.702
55:16.6	-1.838
55:16.6	-2.329
55:16.6	-2.493
55:16.6	-2.246
55:16.7	-2.021
55:16.7	-1.648
55:16.7	-2.297
55:16.7	-2.722
55:16.7	-2.278
55:16.7	-1.895
55:16.7	-2.385
55:16.7	-2.432
55:16.7	-3.181
55:16.7	-3.132
55:16.7	-2.373
55:16.8	-2.49
55:16.8	-2.749
55:16.8	-3.232
55:16.8	-2.817
55:16.8	-2.322
55:16.8	-2.593
55:16.8	-3.43
55:16.8	-2.969
55:16.8	-2.583
55:16.8	-2.173
55:16.8	-2.566
55:16.9	-3.257
55:16.9	-2.749
55:16.9	-2.305
55:16.9	-2.214
55:16.9	-2.744
55:16.9	-2.81
55:16.9	-2.805
55:16.9	-2.49
55:16.9	-2.3
55:16.9	-2.085
55:17.0	-2.786
55:17.0	-2.739
55:17.0	-2.737
55:17.0	-1.785
55:17.0	-2.393
55:17.0	-2.61
55:17.0	-2.126
55:17.0	-1.863
55:17.0	-1.704
55:17.0	-2.29
55:17.0	-2.122
55:17.1	-1.936
55:17.1	-1.35
55:17.1	-1.88
55:17.1	-2.124
55:17.1	-2.861
55:17.1	-2.019
55:17.1	-1.628
55:17.1	-1.826
55:17.1	-1.785
55:17.1	-2.131
55:17.1	-1.643
55:17.1	-1.328
55:17.2	-1.479
55:17.2	-2.183
55:17.2	-1.624
55:17.2	-1.533
55:17.2	-1.77
55:17.2	-2.034
55:17.2	-1.809
55:17.2	-1.868
55:17.2	-2.722
55:17.2	-2.649
55:17.2	-2.688
55:17.3	-2.178
55:17.3	-2.664
55:17.3	-2.634
55:17.3	-2.134
55:17.3	-2
55:17.3	-3.071
55:17.3	-2.332
55:17.3	-1.67
55:17.3	-1.44
55:17.3	-2.051
55:17.4	-2.085
55:17.4	-1.567
55:17.4	-1.409
55:17.4	-1.121
55:17.4	-1.35
55:17.4	-1.968
55:17.4	-1.653
55:17.4	-1.003
55:17.4	-1.028
55:17.4	-1.226
55:17.4	-1.536
55:17.5	-1.414
55:17.5	-0.955
55:17.5	-0.605
55:17.5	-1.145
55:17.5	-1.46
55:17.5	-0.823
55:17.5	-0.806
55:17.5	-0.84
55:17.5	-1.416
55:17.5	-1.411
55:17.5	-1.172
55:17.6	-1.101
55:17.6	-1.211
55:17.6	-1.663
55:17.6	-1.902
55:17.6	-1.394
55:17.6	-1.128
55:17.6	-1.572
55:17.6	-2.2
55:17.6	-1.665
55:17.6	-1.477
55:17.6	-1.038
55:17.7	-1.316
55:17.7	-1.843
55:17.7	-1.753
55:17.7	-1.521
55:17.7	-1.223
55:17.7	-1.936
55:17.7	-2.161
55:17.7	-2.092
55:17.7	-1.592
55:17.7	-1.299
55:17.7	-1.597
55:17.8	-2.434
55:17.8	-1.609
55:17.8	-1.074
55:17.8	-1.45
55:17.8	-1.453
55:17.8	-1.736
55:17.8	-1.338
55:17.8	-1.389
55:17.8	-1.113
55:17.8	-1.26
55:17.9	-1.135
55:17.9	-1.553
55:17.9	-1.101
55:17.9	-0.945
55:17.9	-1.248
55:17.9	-2.268
55:17.9	-1.389
55:17.9	-1.226
55:17.9	-1.223
55:17.9	-1.152
55:17.9	-1.511
55:18.0	-1.304
55:18.0	-1.074
55:18.0	-0.752
55:18.0	-1.094
55:18.0	-1.038
55:18.0	-1.25
55:18.0	-0.652
55:18.0	-0.693
55:18.0	-1.091
55:18.0	-1.733
55:18.0	-1.084
55:18.1	-0.889
55:18.1	-1.807
