Time - Voltage	Amplitude - Voltage
21:30.6	-2.205
21:30.6	-2.102
21:30.6	-1.833
21:30.6	-1.477
21:30.6	-1.523
21:30.6	-1.951
21:30.7	-1.863
21:30.7	-1.169
21:30.7	-1.245
21:30.7	-1.519
21:30.7	-1.726
21:30.7	-1.587
21:30.7	-1.089
21:30.7	-1.179
21:30.7	-1.047
21:30.7	-1.045
21:30.7	-1.199
21:30.8	-1.084
21:30.8	-0.903
21:30.8	-1.018
21:30.8	-1.135
21:30.8	-1.316
21:30.8	-1.028
21:30.8	-0.937
21:30.8	-1.16
21:30.8	-1.23
21:30.8	-1.204
21:30.8	-1.189
21:30.9	-0.994
21:30.9	-0.928
21:30.9	-1.074
21:30.9	-1.245
21:30.9	-1.155
21:30.9	-0.962
21:30.9	-0.908
21:30.9	-1.113
21:30.9	-1.362
21:30.9	-1.013
21:31.0	-0.991
21:31.0	-1.113
21:31.0	-1.238
21:31.0	-1.077
21:31.0	-0.962
21:31.0	-0.896
21:31.0	-0.95
21:31.0	-1.165
21:31.0	-0.984
21:31.0	-0.884
21:31.0	-0.881
21:31.1	-0.913
21:31.1	-0.967
21:31.1	-0.935
21:31.1	-0.881
21:31.1	-0.937
21:31.1	-0.879
21:31.1	-0.911
21:31.1	-0.881
21:31.1	-1.001
21:31.1	-0.903
21:31.1	-0.994
21:31.1	-0.967
21:31.2	-0.925
21:31.2	-0.928
21:31.2	-1.213
21:31.2	-1.104
21:31.2	-0.981
21:31.2	-0.928
21:31.2	-1.028
21:31.2	-1.304
21:31.2	-1.082
21:31.2	-0.967
21:31.2	-1.03
21:31.3	-1.326
21:31.3	-1.426
21:31.3	-1.196
21:31.3	-1.064
21:31.3	-1.345
21:31.3	-1.438
21:31.3	-1.87
21:31.3	-1.641
21:31.3	-1.284
21:31.3	-1.531
21:31.4	-1.863
21:31.4	-1.99
21:31.4	-1.86
21:31.4	-1.858
21:31.4	-1.636
21:31.4	-2.122
21:31.4	-2.578
21:31.4	-2.222
21:31.4	-2.046
21:31.4	-1.824
21:31.4	-2.361
21:31.5	-3.162
21:31.5	-2.566
21:31.5	-2.104
21:31.5	-2.883
21:31.5	-2.961
21:31.5	-3.054
21:31.5	-3.042
21:31.5	-2.583
21:31.5	-3.171
21:31.5	-3.347
21:31.5	-3.193
21:31.6	-3.235
21:31.6	-2.778
21:31.6	-3.135
21:31.6	-3.716
21:31.6	-3.538
21:31.6	-2.979
21:31.6	-3.081
21:31.6	-3.394
21:31.6	-3.623
21:31.6	-3.618
21:31.6	-3.303
21:31.7	-3.542
21:31.7	-3.667
21:31.7	-3.723
21:31.7	-3.76
21:31.7	-3.755
21:31.7	-3.611
