Time - Voltage	Amplitude - Voltage
07:23.5	-0.703
07:23.5	-0.698
07:23.5	-0.452
07:23.5	-0.42
07:23.6	-0.515
07:23.6	-0.706
07:23.6	-0.776
07:23.6	-0.62
07:23.6	-0.552
07:23.6	-0.593
07:23.6	-0.615
07:23.6	-0.696
07:23.6	-0.996
07:23.6	-0.5
07:23.6	-0.62
07:23.7	-0.735
07:23.7	-0.581
07:23.7	-0.596
07:23.7	-0.518
07:23.7	-0.605
07:23.7	-0.706
07:23.7	-0.884
07:23.7	-0.642
07:23.7	-0.632
07:23.7	-0.476
07:23.7	-0.662
07:23.8	-0.84
07:23.8	-0.586
07:23.8	-0.613
07:23.8	-0.723
07:23.8	-0.957
07:23.8	-0.605
07:23.8	-0.591
07:23.8	-0.481
07:23.8	-0.596
07:23.8	-0.691
07:23.8	-0.73
07:23.9	-0.542
07:23.9	-0.435
07:23.9	-0.625
07:23.9	-0.698
07:23.9	-0.479
07:23.9	-0.452
07:23.9	-0.706
07:23.9	-0.642
07:23.9	-0.818
07:23.9	-0.767
07:23.9	-0.706
07:24.0	-0.728
07:24.0	-0.713
07:24.0	-0.774
07:24.0	-0.674
07:24.0	-0.535
07:24.0	-0.593
07:24.0	-0.625
07:24.0	-0.813
07:24.0	-0.642
07:24.0	-0.623
07:24.1	-0.703
07:24.1	-0.823
07:24.1	-1.047
07:24.1	-0.85
07:24.1	-0.815
07:24.1	-0.562
07:24.1	-0.703
07:24.1	-1.365
07:24.1	-0.92
07:24.1	-0.535
07:24.1	-0.496
07:24.2	-0.676
07:24.2	-0.879
07:24.2	-0.684
07:24.2	-0.471
07:24.2	-0.767
07:24.2	-1.045
07:24.2	-0.813
07:24.2	-0.549
07:24.2	-0.544
07:24.2	-0.642
07:24.2	-0.605
07:24.2	-0.742
07:24.3	-0.547
07:24.3	-0.686
07:24.3	-0.693
07:24.3	-1.174
07:24.3	-1.482
07:24.3	-0.728
07:24.3	-0.471
07:24.3	-0.674
07:24.3	-0.635
07:24.3	-0.647
07:24.3	-0.498
07:24.4	-0.461
07:24.4	-0.54
07:24.4	-0.798
07:24.4	-0.793
07:24.4	-0.679
07:24.4	-0.469
07:24.4	-0.588
07:24.4	-0.591
07:24.4	-0.781
07:24.4	-0.503
07:24.4	-0.764
07:24.5	-0.649
07:24.5	-0.642
07:24.5	-0.63
07:24.5	-0.532
07:24.5	-0.427
07:24.5	-0.437
07:24.5	-0.557
07:24.5	-0.605
07:24.5	-0.474
07:24.5	-0.427
07:24.6	-0.527
07:24.6	-0.632
07:24.6	-0.513
07:24.6	-0.447
07:24.6	-0.53
07:24.6	-0.515
07:24.6	-0.591
07:24.6	-0.444
07:24.6	-0.437
07:24.6	-0.432
07:24.6	-0.439
07:24.7	-0.61
07:24.7	-0.469
07:24.7	-0.422
07:24.7	-0.422
07:24.7	-0.615
07:24.7	-0.618
07:24.7	-0.422
07:24.7	-0.439
07:24.7	-0.579
07:24.7	-0.767
07:24.7	-0.503
07:24.8	-0.522
07:24.8	-0.476
07:24.8	-0.469
07:24.8	-0.466
07:24.8	-0.569
07:24.8	-0.435
07:24.8	-0.479
07:24.8	-0.43
07:24.8	-0.623
07:24.8	-0.61
07:24.8	-0.432
07:24.9	-0.427
07:24.9	-0.51
07:24.9	-0.603
07:24.9	-0.522
07:24.9	-0.444
07:24.9	-0.454
07:24.9	-0.637
07:24.9	-0.52
07:24.9	-0.459
07:24.9	-0.435
07:25.0	-0.427
07:25.0	-0.559
07:25.0	-0.815
07:25.0	-0.698
07:25.0	-0.449
07:25.0	-0.513
07:25.0	-0.581
07:25.0	-0.776
07:25.0	-0.549
07:25.0	-0.464
07:25.0	-0.579
07:25.1	-0.603
07:25.1	-0.691
07:25.1	-0.598
07:25.1	-0.54
07:25.1	-0.598
07:25.1	-1.147
07:25.1	-1.05
07:25.1	-0.615
07:25.1	-0.491
07:25.1	-0.669
07:25.1	-0.647
07:25.2	-0.627
07:25.2	-0.93
07:25.2	-0.566
07:25.2	-0.776
07:25.2	-0.632
07:25.2	-0.786
07:25.2	-0.908
07:25.2	-0.547
07:25.2	-0.427
07:25.2	-1.111
07:25.2	-0.974
07:25.3	-0.449
07:25.3	-0.447
07:25.3	-0.63
07:25.3	-1.189
07:25.3	-0.693
07:25.3	-0.537
07:25.3	-0.505
07:25.3	-0.586
07:25.3	-0.605
07:25.3	-0.571
07:25.3	-0.596
07:25.4	-0.461
07:25.4	-0.579
07:25.4	-0.698
07:25.4	-0.503
07:25.4	-0.469
07:25.4	-0.583
07:25.4	-0.483
07:25.4	-0.862
07:25.4	-0.847
07:25.4	-0.708
07:25.4	-0.562
07:25.5	-0.691
07:25.5	-0.84
07:25.5	-0.771
07:25.5	-0.496
07:25.5	-0.439
07:25.5	-0.73
07:25.5	-0.813
07:25.5	-0.862
07:25.5	-0.569
07:25.5	-0.552
07:25.5	-0.791
07:25.6	-0.901
07:25.6	-0.64
07:25.6	-0.632
07:25.6	-0.757
07:25.6	-0.854
07:25.6	-0.937
07:25.6	-0.837
07:25.6	-0.713
07:25.6	-0.771
07:25.6	-1.399
07:25.6	-1.003
07:25.7	-0.779
07:25.7	-0.823
