------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |     Aki    | Acc. |                  Ei           Ek                  | Configurations  |    Terms   |Type|
          Wavelength |          Wavelength |     s^-1   |      |                 (eV)         (eV)                 |                 |            |    |
           Vac  (Å)  |           Vac  (Å)  |            |      |                                                   |                 |            |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
       3188.667      |       3188.6661740  |  5.6361e 06| AAA  |    19.81961358228       -     23.7078911595       |  1s.2s - 1s.4p  |  3S  - 3P* |    |
       3188.667      |       3188.6670888  |  5.6361e 06| AAA  |    19.81961358228       -     23.7078900442       |  1s.2s - 1s.4p  |  3S  - 3P* |    |
       3232.199      |       3232.2031792  |  5.1015e 05| AAA  |    20.6157738231        -     24.45167722834      |  1s.2s - 1s.10p |  1S  - 1P* |    |
       3259.215      |       3259.2131373  |  6.9627e 05| AAA  |    20.6157738231        -     24.41988808530      |  1s.2s - 1s.9p  |  1S  - 1P* |    |
                     |       3297.7223496  |  9.8432e 05| AAA  |    20.6157738231        -     24.37546547115      |  1s.2s - 1s.8p  |  1S  - 1P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       3355.5192265  |  1.4537e 06| AAA  |    20.6157738231        -     24.31070695665      |  1s.2s - 1s.7p  |  1S  - 1P* |    |
                     |       3448.5769498  |  2.2691e 06| AAA  |    20.6157738231        -     24.21100146141      |  1s.2s - 1s.6p  |  1S  - 1P* |    |
       3555.430      |       3555.4215020  |  3.6386e 04| AAA  |    20.96408587426       -     24.451272737498     |  1s.2p - 1s.10d |  3P* - 3D  |    |
       3555.430      |       3555.4216510  |  3.2745e 05| AAA  |    20.96408587426       -     24.451272591392     |  1s.2p - 1s.10d |  3P* - 3D  |    |
       3555.430      |       3555.4216616  |  1.3099e 05| AAA  |    20.96408587426       -     24.451272580990     |  1s.2p - 1s.10d |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
       3555.430      |       3555.4311630  |  5.4579e 05| AAA  |    20.96409534981       -     24.451272737498     |  1s.2p - 1s.10d |  3P* - 3D  |    |
       3555.430      |       3555.4313119  |  9.8235e 05| AAA  |    20.96409534981       -     24.451272591392     |  1s.2p - 1s.10d |  3P* - 3D  |    |
                     |       3555.5560506  |  7.2772e 05| AAA  |    20.96421783567       -     24.451272737498     |  1s.2p - 1s.10d |  3P* - 3D  |    |
       3563.997      |       3563.9866413  |  2.6868e 05| AAA  |    20.96408587426       -     24.44289216681      |  1s.2p - 1s.10s |  3P* - 3S  |    |
       3563.997      |       3563.9963489  |  1.6121e 05| AAA  |    20.96409534981       -     24.44289216681      |  1s.2p - 1s.10s |  3P* - 3S  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       3564.1218390  |  5.3735e 04| AAA  |    20.96421783567       -     24.44289216681      |  1s.2p - 1s.10s |  3P* - 3S  |    |
       3588.294      |       3588.2856240  |  5.0298e 04| AAA  |    20.96408587426       -     24.419334550736     |  1s.2p - 1s.9d  |  3P* - 3D  |    |
       3588.294      |       3588.2858321  |  4.5265e 05| AAA  |    20.96408587426       -     24.419334350260     |  1s.2p - 1s.9d  |  3P* - 3D  |    |
       3588.294      |       3588.2858469  |  1.8107e 06| AAA  |    20.96408587426       -     24.419334336036     |  1s.2p - 1s.9d  |  3P* - 3D  |    |
       3588.294      |       3588.2954643  |  7.5448e 05| AAA  |    20.96409534981       -     24.419334550736     |  1s.2p - 1s.9d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
       3588.294      |       3588.2956725  |  1.3580e 06| AAA  |    20.96409534981       -     24.419334350260     |  1s.2p - 1s.9d  |  3P* - 3D  |    |
                     |       3588.4226714  |  1.0060e 06| AAA  |    20.96421783567       -     24.419334550736     |  1s.2p - 1s.9d  |  3P* - 3D  |    |
                     |       3600.3314342  |  3.7358e 05| AAA  |    20.96408587426       -     24.40777415089      |  1s.2p - 1s.9s  |  3P* - 3S  |    |
                     |       3600.3413408  |  2.2415e 05| AAA  |    20.96409534981       -     24.40777415089      |  1s.2p - 1s.9s  |  3P* - 3S  |    |
                     |       3600.4694034  |  7.4716e 04| AAA  |    20.96421783567       -     24.40777415089      |  1s.2p - 1s.9s  |  3P* - 3S  |    |
                     |                     |            |      |                                                   |                 |            |    |
       3614.674      |       3614.6727165  |  3.8022e 06| AAA  |    20.6157738231        -     24.0457992013       |  1s.2s - 1s.5p  |  1S  - 1P* |    |
                     |       3635.2667130  |  7.2396e 04| AAA  |    20.96408587426       -     24.374679959533     |  1s.2p - 1s.8d  |  3P* - 3D  |    |
                     |       3635.2670174  |  6.5151e 05| AAA  |    20.96408587426       -     24.374679673987     |  1s.2p - 1s.8d  |  3P* - 3D  |    |
                     |       3635.2670389  |  2.6063e 06| AAA  |    20.96408587426       -     24.374679653829     |  1s.2p - 1s.8d  |  3P* - 3D  |    |
                     |       3635.2768128  |  1.0859e 06| AAA  |    20.96409534981       -     24.374679959533     |  1s.2p - 1s.8d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       3635.2771172  |  1.9546e 06| AAA  |    20.96409534981       -     24.374679673987     |  1s.2p - 1s.8d  |  3P* - 3D  |    |
                     |       3635.4073728  |  1.4479e 06| AAA  |    20.96421783567       -     24.374679959533     |  1s.2p - 1s.8d  |  3P* - 3D  |    |
       3653.031      |       3653.0220637  |  5.4136e 05| AAA  |    20.96408587426       -     24.35810291895      |  1s.2p - 1s.8s  |  3P* - 3S  |    |
       3653.031      |       3653.0322623  |  3.2481e 05| AAA  |    20.96409534981       -     24.35810291895      |  1s.2p - 1s.8s  |  3P* - 3S  |    |
                     |       3653.1641009  |  1.0827e 05| AAA  |    20.96421783567       -     24.35810291895      |  1s.2p - 1s.8s  |  3P* - 3S  |    |
                     |                     |            |      |                                                   |                 |            |    |
       3706.059      |       3706.0495204  |  1.0980e 05| AAA  |    20.96408587426       -     24.309540131498     |  1s.2p - 1s.7d  |  3P* - 3D  |    |
       3706.059      |       3706.0499928  |  9.8814e 05| AAA  |    20.96408587426       -     24.309539705033     |  1s.2p - 1s.7d  |  3P* - 3D  |    |
       3706.059      |       3706.0500259  |  3.9529e 06| AAA  |    20.96408587426       -     24.309539675152     |  1s.2p - 1s.7d  |  3P* - 3D  |    |
       3706.059      |       3706.0600173  |  1.6470e 06| AAA  |    20.96409534981       -     24.309540131498     |  1s.2p - 1s.7d  |  3P* - 3D  |    |
       3706.059      |       3706.0604897  |  2.9644e 06| AAA  |    20.96409534981       -     24.309539705033     |  1s.2p - 1s.7d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |       3706.1957112  |  2.1961e 06| AAA  |    20.96421783567       -     24.309540131498     |  1s.2p - 1s.7d  |  3P* - 3D  |    |
                     |       3733.9249428  |  8.2750e 05| AAA  |    20.96408587426       -     24.2845648163       |  1s.2p - 1s.7s  |  3P* - 3S  |    |
                     |       3733.9355982  |  4.9650e 05| AAA  |    20.96409534981       -     24.2845648163       |  1s.2p - 1s.7s  |  3P* - 3S  |    |
                     |       3734.0733411  |  1.6550e 05| AAA  |    20.96421783567       -     24.2845648163       |  1s.2p - 1s.7s  |  3P* - 3S  |    |
       3820.6914     |       3820.6859540  |  1.7876e 05| AAA  |    20.96408587426       -     24.209162619267     |  1s.2p - 1s.6d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
       3820.6914     |       3820.6867519  |  1.6087e 06| AAA  |    20.96408587426       -     24.209161941509     |  1s.2p - 1s.6d  |  3P* - 3D  |    |
       3820.6914     |       3820.6868073  |  6.4353e 06| AAA  |    20.96408587426       -     24.209161894586     |  1s.2p - 1s.6d  |  3P* - 3D  |    |
       3820.6914     |       3820.6971103  |  2.6814e 06| AAA  |    20.96409534981       -     24.209162619267     |  1s.2p - 1s.6d  |  3P* - 3D  |    |
       3820.6914     |       3820.6979083  |  4.8261e 06| AAA  |    20.96409534981       -     24.209161941509     |  1s.2p - 1s.6d  |  3P* - 3D  |    |
                     |       3820.8413289  |  3.5752e 06| AAA  |    20.96421783567       -     24.209162619267     |  1s.2p - 1s.6d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
       3834.642      |       3834.6363081  |  9.6470e 05| AAA  |    21.2180216732        -     24.4512928734042    |  1s.2p - 1s.10d |  1P* - 1D  |    |
                     |       3839.1889039  |  3.7425e 05| AAA  |    21.2180216732        -     24.44745878833      |  1s.2p - 1s.10s |  1P* - 1S  |    |
