------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |     Aki    | Acc. |                  Ei           Ek                  | Configurations  |    Terms   |Type|
          Wavelength |          Wavelength |     s^-1   |      |                 (eV)         (eV)                 |                 |            |    |
           Vac  (Å)  |           Vac  (Å)  |            |      |                                                   |                 |            |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                     |                     |            |      |                                                   |                 |            |    |
      10915.91       |      10915.9823018  |  2.1644e 06| AAA  |    23.07364956332       -     24.2094538108310    |  1s.3d - 1s.6f  |  3D  - 3F* |    |
      10915.91       |      10915.9842138  |  1.7594e 05| AAA  |    23.07364956332       -     24.2094536118806    |  1s.3d - 1s.6f  |  3D  - 3F* |    |
      10915.91       |      10915.9872076  |  1.4356e 06| AAA  |    23.07364987482       -     24.2094536118806    |  1s.3d - 1s.6f  |  3D  - 3F* |    |
                     |      10915.9751965  |  6.455e 04 | AA   |    23.07364956332       -     24.2094545501337    |  1s.3d - 1s.6f  |  3D  - 1F* |    |
                     |      10915.9781902  |  4.884e 05 | AA   |    23.07364987482       -     24.2094545501337    |  1s.3d - 1s.6f  |  3D  - 1F* |    |
                     |                     |            |      |                                                   |                 |            |    |
      10916.04       |      10916.0349250  |  1.8181e 06| AAA  |    23.07365535507       -     24.2094541271798    |  1s.3d - 1s.6f  |  3D  - 3F* |    |
                     |      10920.0566189  |  8.195e 01 | AA   |    23.07407365281       -     24.2094541271798    |  1s.3d - 1s.6f  |  1D  - 3F* |    |
                     |      10920.0615751  |  5.518e 05 | AA   |    23.07407365281       -     24.2094536118806    |  1s.3d - 1s.6f  |  1D  - 3F* |    |
      10920.09       |      10920.0525509  |  1.6083e 06| AAA  |    23.07407365281       -     24.2094545501337    |  1s.3d - 1s.6f  |  1D  - 1F* |    |
                     |      10999.651806   |  1.0688e 05| AAA  |    23.07364987482       -     24.20081455989      |  1s.3d - 1s.6p  |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      10999.651894   |  1.1973e 05| AAA  |    23.07364956332       -     24.20081423942      |  1s.3d - 1s.6p  |  3D  - 3P* |    |
                     |      10999.654934   |  2.1375e 04| AAA  |    23.07364987482       -     24.20081423942      |  1s.3d - 1s.6p  |  3D  - 3P* |    |
                     |      10999.666905   |  1.4254e 05| AAA  |    23.07365535507       -     24.20081849295      |  1s.3d - 1s.6p  |  3D  - 3P* |    |
                     |      10999.705286   |  3.5634e 04| AAA  |    23.07365535507       -     24.20081455989      |  1s.3d - 1s.6p  |  3D  - 3P* |    |
                     |      10999.708414   |  1.4254e 03| AAA  |    23.07365535507       -     24.20081423942      |  1s.3d - 1s.6p  |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      11016.08760    |  9.2496e 05| AAA  |    22.920316225         -     24.0457992013       |  1s.3s - 1s.5p  |  1S  - 1P* |    |
                     |      11048.007883   |  1.8457e 06| AAA  |    23.0870173854        -     24.209248578139     |  1s.3p - 1s.6d  |  1P* - 1D  |    |
                     |      11229.011043   |  1.1168e 06| AAA  |    23.0870173854        -     24.1911590606       |  1s.3p - 1s.6s  |  1P* - 1S  |    |
                     |      11970.703413   |  8.899e 01 | AA   |    23.0070720049        -     24.042802206755     |  1s.3p - 1s.5d  |  3P* - 1D  |    |
                     |      11970.734903   |  2.500e 02 | AA   |    23.0070747295        -     24.042802206755     |  1s.3p - 1s.5d  |  3P* - 1D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      11972.320767   |  9.6617e 04| AAA  |    23.0070720049        -     24.042662288855     |  1s.3p - 1s.5d  |  3P* - 3D  |    |
                     |      11972.334324   |  8.6946e 05| AAA  |    23.0070720049        -     24.042661116144     |  1s.3p - 1s.5d  |  3P* - 3D  |    |
                     |      11972.335244   |  3.4782e 06| AAA  |    23.0070720049        -     24.042661036653     |  1s.3p - 1s.5d  |  3P* - 3D  |    |
                     |      11972.352265   |  1.4493e 06| AAA  |    23.0070747295        -     24.042662288855     |  1s.3p - 1s.5d  |  3P* - 3D  |    |
      11972.40       |      11972.365823   |  2.6084e 06| AAA  |    23.0070747295        -     24.042661116144     |  1s.3p - 1s.5d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      11972.740213   |  1.9323e 06| AAA  |    23.0071082852        -     24.042662288855     |  1s.3p - 1s.5d  |  3P* - 3D  |    |
                     |      12530.74955    |  7.0932e 05| AAA  |    22.718465298         -     23.7079048383       |  1s.3s - 1s.4p  |  3S  - 3P* |    |
                     |      12530.92278    |  7.0932e 05| AAA  |    22.718465298         -     23.7078911595       |  1s.3s - 1s.4p  |  3S  - 3P* |    |
      12530.95       |      12530.93691    |  7.0932e 05| AAA  |    22.718465298         -     23.7078900442       |  1s.3s - 1s.4p  |  3S  - 3P* |    |
                     |      12759.177816   |  1.2754e 05| AAA  |    23.07407365281       -     24.0457992013       |  1s.3d - 1s.5p  |  1D  - 1P* |    |
                     |                     |            |      |                                                   |                 |            |    |
      12788.29       |      12788.4113301  |  2.0331e 04| AAA  |    23.07364956332       -     24.043153807565     |  1s.3d - 1s.5f  |  3D  - 3F* |    |
      12788.29       |      12788.4154390  |  7.1142e 05| AAA  |    23.07364987482       -     24.043153807565     |  1s.3d - 1s.5f  |  3D  - 3F* |    |
      12788.29       |      12788.4185429  |  4.5746e 06| AAA  |    23.07364956332       -     24.043153260751     |  1s.3d - 1s.5f  |  3D  - 3F* |    |
      12788.29       |      12788.4235774  |  3.5457e 05| AAA  |    23.07364956332       -     24.043152879083     |  1s.3d - 1s.5f  |  3D  - 3F* |    |
      12788.29       |      12788.4276863  |  2.8980e 06| AAA  |    23.07364987482       -     24.043152879083     |  1s.3d - 1s.5f  |  3D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      12788.4029436  |  1.537e 05 | AA   |    23.07364956332       -     24.043154443358     |  1s.3d - 1s.5f  |  3D  - 1F* |    |
                     |      12788.4070524  |  1.168e 06 | AA   |    23.07364987482       -     24.043154443358     |  1s.3d - 1s.5f  |  3D  - 1F* |    |
      12788.49       |      12788.4877276  |  3.8426e 06| AAA  |    23.07365535507       -     24.043153807565     |  1s.3d - 1s.5f  |  3D  - 3F* |    |
                     |      12794.0078031  |  1.732e 02 | AA   |    23.07407365281       -     24.043153807565     |  1s.3d - 1s.5f  |  1D  - 3F* |    |
                     |      12794.0200611  |  1.320e 06 | AA   |    23.07407365281       -     24.043152879083     |  1s.3d - 1s.5f  |  1D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
      12794.07       |      12793.9994092  |  3.2475e 06| AAA  |    23.07407365281       -     24.043154443358     |  1s.3d - 1s.5f  |  1D  - 1F* |    |
      12849.47       |      12849.458003   |  1.5176e 06| AAA  |    23.0070720049        -     23.9719702176       |  1s.3p - 1s.5s  |  3P* - 3S  |    |
      12849.47       |      12849.494287   |  9.1057e 05| AAA  |    23.0070747295        -     23.9719702176       |  1s.3p - 1s.5s  |  3P* - 3S  |    |
                     |      12849.941162   |  3.0352e 05| AAA  |    23.0071082852        -     23.9719702176       |  1s.3p - 1s.5s  |  3P* - 3S  |    |
      12972.00       |      12971.977358   |  3.3615e 06| AAA  |    23.0870173854        -     24.042802206755     |  1s.3p - 1s.5d  |  1P* - 1D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      12973.892532   |  3.303e 02 | AA   |    23.0870173854        -     24.042661116144     |  1s.3p - 1s.5d  |  1P* - 3D  |    |
      12988.44       |      12988.405160   |  2.7294e 05| AAA  |    23.07365535507       -     24.0282312948       |  1s.3d - 1s.5p  |  3D  - 3P* |    |
      12988.44       |      12988.424128   |  2.0466e 05| AAA  |    23.07364987482       -     24.0282244205       |  1s.3d - 1s.5p  |  3D  - 3P* |    |
      12988.44       |      12988.427520   |  2.2927e 05| AAA  |    23.07364956332       -     24.0282238597       |  1s.3d - 1s.5p  |  3D  - 3P* |    |
      12988.44       |      12988.431759   |  4.0931e 04| AAA  |    23.07364987482       -     24.0282238597       |  1s.3d - 1s.5p  |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
      12988.44       |      12988.498697   |  6.8235e 04| AAA  |    23.07365535507       -     24.0282244205       |  1s.3d - 1s.5p  |  3D  - 3P* |    |
      12988.44       |      12988.506327   |  2.7294e 03| AAA  |    23.07365535507       -     24.0282238597       |  1s.3d - 1s.5p  |  3D  - 3P* |    |
                     |      13415.350940   |  2.0572e 06| AAA  |    23.0870173854        -     24.0112137867       |  1s.3p - 1s.5s  |  1P* - 1S  |    |
                     |      14492.27744    |  3.4680e 04| AAA  |    23.5939575362        -     24.44947656095      |  1s.4s - 1s.10p |  3S  - 3P* |    |
                     |      14492.29153    |  3.4680e 04| AAA  |    23.5939575362        -     24.44947572861      |  1s.4s - 1s.10p |  3S  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      14492.29268    |  3.4680e 04| AAA  |    23.5939575362        -     24.44947566090      |  1s.4s - 1s.10p |  3S  - 3P* |    |
                     |      15066.53046    |  4.6126e 04| AAA  |    23.5939575362        -     24.41686889570      |  1s.4s - 1s.9p  |  3S  - 3P* |    |
                     |      15066.55143    |  4.6126e 04| AAA  |    23.5939575362        -     24.41686775032      |  1s.4s - 1s.9p  |  3S  - 3P* |    |
                     |      15066.55313    |  4.6126e 04| AAA  |    23.5939575362        -     24.41686765711      |  1s.4s - 1s.9p  |  3S  - 3P* |    |
      15087.76       |      15087.77482    |  1.4057e 06| AAA  |    22.920316225         -     23.7420688828       |  1s.3s - 1s.4p  |  1S  - 1P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      15934.06305    |  5.7048e 04| AAA  |    23.6735694086        -     24.45167722834      |  1s.4s - 1s.10p |  1S  - 1P* |    |
                     |      15952.49260    |  6.2580e 04| AAA  |    23.5939575362        -     24.37116642567      |  1s.4s - 1s.8p  |  3S  - 3P* |    |
                     |      15952.52621    |  6.2580e 04| AAA  |    23.5939575362        -     24.37116478815      |  1s.4s - 1s.8p  |  3S  - 3P* |    |
                     |      15952.52895    |  6.2580e 04| AAA  |    23.5939575362        -     24.37116465485      |  1s.4s - 1s.8p  |  3S  - 3P* |    |
                     |      16612.76804    |  7.6907e 04| AAA  |    23.6735694086        -     24.41988808530      |  1s.4s - 1s.9p  |  1S  - 1P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      16678.380020   |  4.9936e 03| AAA  |    23.7078900442        -     24.451272737498     |  1s.4p - 1s.10d |  3P* - 3D  |    |
                     |      16678.383297   |  4.4939e 04| AAA  |    23.7078900442        -     24.451272591392     |  1s.4p - 1s.10d |  3P* - 3D  |    |
                     |      16678.383530   |  1.7977e 05| AAA  |    23.7078900442        -     24.451272580990     |  1s.4p - 1s.10d |  3P* - 3D  |    |
                     |      16678.405044   |  7.4904e 04| AAA  |    23.7078911595        -     24.451272737498     |  1s.4p - 1s.10d |  3P* - 3D  |    |
                     |      16678.408322   |  1.3482e 05| AAA  |    23.7078911595        -     24.451272591392     |  1s.4p - 1s.10d |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      16678.711944   |  9.9872e 04| AAA  |    23.7079048383        -     24.451272737498     |  1s.4p - 1s.10d |  3P* - 3D  |    |
                     |      16868.548643   |  9.3727e 04| AAA  |    23.7078900442        -     24.44289216681      |  1s.4p - 1s.10s |  3P* - 3S  |    |
                     |      16868.574242   |  5.6236e 04| AAA  |    23.7078911595        -     24.44289216681      |  1s.4p - 1s.10s |  3P* - 3S  |    |
                     |      16868.888181   |  1.8745e 04| AAA  |    23.7079048383        -     24.44289216681      |  1s.4p - 1s.10s |  3P* - 3S  |    |
                     |      17001.326966   |  2.148e 02 | AA   |    23.0070720049        -     23.73633384917      |  1s.3p - 1s.4d  |  3P* - 1D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      17001.390486   |  6.038e 02 | AA   |    23.0070747295        -     23.73633384917      |  1s.3p - 1s.4d  |  3P* - 1D  |    |
      17007.11       |      17006.979936   |  1.8358e 05| AAA  |    23.0070720049        -     23.73609144900      |  1s.3p - 1s.4d  |  3P* - 3D  |    |
      17007.11       |      17007.033504   |  1.6520e 06| AAA  |    23.0070720049        -     23.73608915275      |  1s.3p - 1s.4d  |  3P* - 3D  |    |
      17007.11       |      17007.036980   |  6.6090e 06| AAA  |    23.0070720049        -     23.73608900379      |  1s.3p - 1s.4d  |  3P* - 3D  |    |
      17007.11       |      17007.043497   |  2.7538e 06| AAA  |    23.0070747295        -     23.73609144900      |  1s.3p - 1s.4d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
      17007.11       |      17007.097066   |  4.9562e 06| AAA  |    23.0070747295        -     23.73608915275      |  1s.3p - 1s.4d  |  3P* - 3D  |    |
                     |      17007.826344   |  3.6717e 06| AAA  |    23.0071082852        -     23.73609144900      |  1s.3p - 1s.4d  |  3P* - 3D  |    |
                     |      17332.1224742  |  1.4055e 04| AAA  |    23.73633384917       -     24.45167722834      |  1s.4d - 1s.10p |  1D  - 1P* |    |
                     |      17334.4088622  |  5.427e 03 | AA   |    23.73608900379       -     24.4513380300064    |  1s.4d - 1s.10f |  3D  - 1F* |    |
                     |      17334.4115654  |  9.8084e 02| AAA  |    23.73608900379       -     24.4513379184654    |  1s.4d - 1s.10f |  3D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      17334.4124725  |  4.147e 04 | AA   |    23.73608915275       -     24.4513380300064    |  1s.4d - 1s.10f |  3D  - 1F* |    |
                     |      17334.4132207  |  2.2069e 05| AAA  |    23.73608900379       -     24.4513378501668    |  1s.4d - 1s.10f |  3D  - 3F* |    |
                     |      17334.4141042  |  1.9094e 04| AAA  |    23.73608900379       -     24.4513378137089    |  1s.4d - 1s.10f |  3D  - 3F* |    |
                     |      17334.4151757  |  3.4325e 04| AAA  |    23.73608915275       -     24.4513379184654    |  1s.4d - 1s.10f |  3D  - 3F* |    |
                     |      17334.4177145  |  1.5470e 05| AAA  |    23.73608915275       -     24.4513378137089    |  1s.4d - 1s.10f |  3D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      17334.4708266  |  1.8538e 05| AAA  |    23.73609144900       -     24.4513379184654    |  1s.4d - 1s.10f |  3D  - 3F* |    |
                     |      17340.3448414  |  1.7347e 05| AAA  |    23.73633384917       -     24.4513380300064    |  1s.4d - 1s.10f |  1D  - 1F* |    |
                     |      17340.3500870  |  4.680e 04 | AA   |    23.73633384917       -     24.4513378137089    |  1s.4d - 1s.10f |  1D  - 3F* |    |
                     |      17356.44932749 |  1.508e 03 | AA   |    23.737005621335      -     24.4513463729940    |  1s.4f - 1s.10g |  3F* - 1G  |    |
                     |      17356.44996906 |  7.9008e 03| AAA  |    23.737005621335      -     24.4513463465888    |  1s.4f - 1s.10g |  3F* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      17356.45195765 |  1.4717e 05| AAA  |    23.737005621335      -     24.4513462647440    |  1s.4f - 1s.10g |  3F* - 3G  |    |
                     |      17356.47083582 |  4.642e 03 | AA   |    23.737006506554      -     24.4513463729940    |  1s.4f - 1s.10g |  3F* - 1G  |    |
                     |      17356.47147739 |  1.9748e 02| AAA  |    23.737006506554      -     24.4513463465888    |  1s.4f - 1s.10g |  3F* - 3G  |    |
                     |      17356.47242565 |  1.5482e 05| AAA  |    23.737006506554      -     24.4513463075614    |  1s.4f - 1s.10g |  3F* - 3G  |    |
                     |      17356.47346600 |  5.0342e 03| AAA  |    23.737006506554      -     24.4513462647440    |  1s.4f - 1s.10g |  3F* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      17356.49744000 |  1.4218e 05| AAA  |    23.737007575094      -     24.4513463465888    |  1s.4f - 1s.10g |  3F* - 3G  |    |
                     |      17356.52015702 |  1.4867e 05| AAA  |    23.737008536459      -     24.4513463729940    |  1s.4f - 1s.10g |  1F* - 1G  |    |
                     |      17356.52079859 |  4.540e 03 | AA   |    23.737008536459      -     24.4513463465888    |  1s.4f - 1s.10g |  1F* - 3G  |    |
                     |      17356.52278720 |  2.619e 03 | AA   |    23.737008536459      -     24.4513462647440    |  1s.4f - 1s.10g |  1F* - 3G  |    |
                     |      17357.74931277 |  1.098e 03 | AA   |    23.737005621335      -     24.4512928734042    |  1s.4f - 1s.10d |  3F* - 1D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      17357.82015291 |  1.9786e 03| AAA  |    23.737008536459      -     24.4512928734042    |  1s.4f - 1s.10d |  1F* - 1D  |    |
                     |      17358.24219581 |  1.7780e 03| AAA  |    23.737005621335      -     24.451272591392     |  1s.4f - 1s.10d |  3F* - 3D  |    |
                     |      17358.24244862 |  1.5656e 02| AAA  |    23.737005621335      -     24.451272580990     |  1s.4f - 1s.10d |  3F* - 3D  |    |
                     |      17358.26396139 |  2.8526e 03| AAA  |    23.737006506554      -     24.451272580990     |  1s.4f - 1s.10d |  3F* - 3D  |    |
                     |      17358.28612587 |  3.1062e 03| AAA  |    23.737007575094      -     24.451272737498     |  1s.4f - 1s.10d |  3F* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      17358.28967655 |  3.4510e 02| AAA  |    23.737007575094      -     24.451272591392     |  1s.4f - 1s.10d |  3F* - 3D  |    |
                     |      17358.31303997 |  9.830e 02 | AA   |    23.737008536459      -     24.451272591392     |  1s.4f - 1s.10d |  1F* - 3D  |    |
                     |      17358.31329278 |  8.997e 01 | AA   |    23.737008536459      -     24.451272580990     |  1s.4f - 1s.10d |  1F* - 3D  |    |
                     |      17379.6621159  |  2.2968e 04| AAA  |    23.73608900379       -     24.44947566090      |  1s.4d - 1s.10p |  3D  - 3P* |    |
                     |      17379.6640958  |  2.0504e 04| AAA  |    23.73608915275       -     24.44947572861      |  1s.4d - 1s.10p |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      17379.6657450  |  4.1008e 03| AAA  |    23.73608915275       -     24.44947566090      |  1s.4d - 1s.10p |  3D  - 3P* |    |
                     |      17379.6997597  |  2.7342e 04| AAA  |    23.73609144900       -     24.44947656095      |  1s.4d - 1s.10p |  3D  - 3P* |    |
                     |      17379.7200375  |  6.8356e 03| AAA  |    23.73609144900       -     24.44947572861      |  1s.4d - 1s.10p |  3D  - 3P* |    |
                     |      17379.7216868  |  2.7342e 02| AAA  |    23.73609144900       -     24.44947566090      |  1s.4d - 1s.10p |  3D  - 3P* |    |
                     |      17427.106324   |  6.8497e 03| AAA  |    23.7078900442        -     24.419334550736     |  1s.4p - 1s.9d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      17427.111234   |  6.1643e 04| AAA  |    23.7078900442        -     24.419334350260     |  1s.4p - 1s.9d  |  3P* - 3D  |    |
                     |      17427.111582   |  2.4659e 05| AAA  |    23.7078900442        -     24.419334336036     |  1s.4p - 1s.9d  |  3P* - 3D  |    |
                     |      17427.133645   |  1.0275e 05| AAA  |    23.7078911595        -     24.419334550736     |  1s.4p - 1s.9d  |  3P* - 3D  |    |
                     |      17427.138555   |  1.8493e 05| AAA  |    23.7078911595        -     24.419334350260     |  1s.4p - 1s.9d  |  3P* - 3D  |    |
                     |      17427.468718   |  1.3699e 05| AAA  |    23.7079048383        -     24.419334550736     |  1s.4p - 1s.9d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      17454.37321    |  8.5957e 04| AAA  |    23.5939575362        -     24.30429063780      |  1s.4s - 1s.7p  |  3S  - 3P* |    |
                     |      17454.43361    |  8.5957e 04| AAA  |    23.5939575362        -     24.30428817993      |  1s.4s - 1s.7p  |  3S  - 3P* |    |
                     |      17454.43853    |  8.5957e 04| AAA  |    23.5939575362        -     24.30428797980      |  1s.4s - 1s.7p  |  3S  - 3P* |    |
                     |      17481.669012   |  1.7528e 04| AAA  |    23.7420688828        -     24.4512928734042    |  1s.4p - 1s.10d |  1P* - 1D  |    |
                     |      17576.689093   |  1.3922e 05| AAA  |    23.7420688828        -     24.44745878833      |  1s.4p - 1s.10s |  1P* - 1S  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      17664.18095    |  1.0661e 05| AAA  |    23.6735694086        -     24.37546547115      |  1s.4s - 1s.8p  |  1S  - 1P* |    |
                     |      17714.960148   |  1.3193e 05| AAA  |    23.7078900442        -     24.40777415089      |  1s.4p - 1s.9s  |  3P* - 3S  |    |
                     |      17714.988380   |  7.9160e 04| AAA  |    23.7078911595        -     24.40777415089      |  1s.4p - 1s.9s  |  3P* - 3S  |    |
                     |      17715.334613   |  2.6387e 04| AAA  |    23.7079048383        -     24.40777415089      |  1s.4p - 1s.9s  |  3P* - 3S  |    |
                     |      18138.1643228  |  1.9866e 04| AAA  |    23.73633384917       -     24.41988808530      |  1s.4d - 1s.9p  |  1D  - 1P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      18143.9914020  |  7.884e 03 | AA   |    23.73608900379       -     24.4194237113336    |  1s.4d - 1s.9f  |  3D  - 1F* |    |
                     |      18143.9953574  |  6.028e 04 | AA   |    23.73608915275       -     24.4194237113336    |  1s.4d - 1s.9f  |  3D  - 1F* |    |
                     |      18143.9953603  |  1.3874e 03| AAA  |    23.73608900379       -     24.4194235622586    |  1s.4d - 1s.9f  |  3D  - 3F* |    |
                     |      18143.9978481  |  3.1216e 05| AAA  |    23.73608900379       -     24.4194234685641    |  1s.4d - 1s.9f  |  3D  - 3F* |    |
                     |      18143.9992061  |  2.6801e 04| AAA  |    23.73608900379       -     24.4194234174167    |  1s.4d - 1s.9f  |  3D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      18143.9993157  |  4.8552e 04| AAA  |    23.73608915275       -     24.4194235622586    |  1s.4d - 1s.9f  |  3D  - 3F* |    |
                     |      18144.0031615  |  2.1720e 05| AAA  |    23.73608915275       -     24.4194234174167    |  1s.4d - 1s.9f  |  3D  - 3F* |    |
                     |      18144.0602861  |  2.6221e 05| AAA  |    23.73609144900       -     24.4194235622586    |  1s.4d - 1s.9f  |  3D  - 3F* |    |
                     |      18150.4948986  |  2.4356e 05| AAA  |    23.73633384917       -     24.4194237113336    |  1s.4d - 1s.9f  |  1D  - 1F* |    |
                     |      18150.5027083  |  6.804e 04 | AA   |    23.73633384917       -     24.4194234174167    |  1s.4d - 1s.9f  |  1D  - 3F* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      18168.05963998 |  2.239e 03 | AA   |    23.737005621335      -     24.4194350774306    |  1s.4f - 1s.9g  |  3F* - 1G  |    |
                     |      18168.06060377 |  1.1702e 04| AAA  |    23.737005621335      -     24.4194350412286    |  1s.4f - 1s.9g  |  3F* - 3G  |    |
                     |      18168.06359318 |  2.1797e 05| AAA  |    23.737005621335      -     24.4194349289402    |  1s.4f - 1s.9g  |  3F* - 3G  |    |
                     |      18168.08320686 |  6.877e 03 | AA   |    23.737006506554      -     24.4194350774306    |  1s.4f - 1s.9g  |  3F* - 1G  |    |
                     |      18168.08417065 |  2.9248e 02| AAA  |    23.737006506554      -     24.4194350412286    |  1s.4f - 1s.9g  |  3F* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      18168.08559595 |  2.2931e 05| AAA  |    23.737006506554      -     24.4194349876919    |  1s.4f - 1s.9g  |  3F* - 3G  |    |
                     |      18168.08716008 |  7.4545e 03| AAA  |    23.737006506554      -     24.4194349289402    |  1s.4f - 1s.9g  |  3F* - 3G  |    |
                     |      18168.11261812 |  2.1059e 05| AAA  |    23.737007575094      -     24.4194350412286    |  1s.4f - 1s.9g  |  3F* - 3G  |    |
                     |      18168.13724856 |  2.2019e 05| AAA  |    23.737008536459      -     24.4194350774306    |  1s.4f - 1s.9g  |  1F* - 1G  |    |
                     |      18168.13821237 |  6.725e 03 | AA   |    23.737008536459      -     24.4194350412286    |  1s.4f - 1s.9g  |  1F* - 3G  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      18168.14120180 |  3.886e 03 | AA   |    23.737008536459      -     24.4194349289402    |  1s.4f - 1s.9g  |  1F* - 3G  |    |
                     |      18170.00833689 |  1.590e 03 | AA   |    23.737005621335      -     24.419361888242     |  1s.4f - 1s.9d  |  3F* - 1D  |    |
                     |      18170.08596212 |  2.8661e 03| AAA  |    23.737008536459      -     24.419361888242     |  1s.4f - 1s.9d  |  1F* - 1D  |    |
                     |      18170.74165700 |  2.5752e 03| AAA  |    23.737005621335      -     24.419334350260     |  1s.4f - 1s.9d  |  3F* - 3D  |    |
                     |      18170.74203575 |  2.2671e 02| AAA  |    23.737005621335      -     24.419334336036     |  1s.4f - 1s.9d  |  3F* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      18170.76560959 |  4.1309e 03| AAA  |    23.737006506554      -     24.419334336036     |  1s.4f - 1s.9d  |  3F* - 3D  |    |
                     |      18170.78834789 |  4.4981e 03| AAA  |    23.737007575094      -     24.419334550736     |  1s.4f - 1s.9d  |  3F* - 3D  |    |
                     |      18170.79368670 |  4.9975e 02| AAA  |    23.737007575094      -     24.419334350260     |  1s.4f - 1s.9d  |  3F* - 3D  |    |
                     |      18170.81928850 |  1.423e 03 | AA   |    23.737008536459      -     24.419334350260     |  1s.4f - 1s.9d  |  1F* - 3D  |    |
                     |      18170.81966725 |  1.303e 02 | AA   |    23.737008536459      -     24.419334336036     |  1s.4f - 1s.9d  |  1F* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      18212.1149039  |  3.2453e 04| AAA  |    23.73608900379       -     24.41686765711      |  1s.4d - 1s.9p  |  3D  - 3P* |    |
                     |      18212.1163953  |  2.8972e 04| AAA  |    23.73608915275       -     24.41686775032      |  1s.4d - 1s.9p  |  3D  - 3P* |    |
                     |      18212.1188890  |  5.7943e 03| AAA  |    23.73608915275       -     24.41686765711      |  1s.4d - 1s.9p  |  3D  - 3P* |    |
                     |      18212.1471834  |  3.8634e 04| AAA  |    23.73609144900       -     24.41686889570      |  1s.4d - 1s.9p  |  3D  - 3P* |    |
                     |      18212.1778244  |  9.6585e 03| AAA  |    23.73609144900       -     24.41686775032      |  1s.4d - 1s.9p  |  3D  - 3P* |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      18212.1803182  |  3.8634e 02| AAA  |    23.73609144900       -     24.41686765711      |  1s.4d - 1s.9p  |  3D  - 3P* |    |
                     |      18305.842462   |  2.4289e 05| AAA  |    23.7420688828        -     24.419361888242     |  1s.4p - 1s.9d  |  1P* - 1D  |    |
                     |      18449.535110   |  1.9477e 05| AAA  |    23.7420688828        -     24.41408684884      |  1s.4p - 1s.9s  |  1P* - 1S  |    |
                     |      18560.640109   |  2.9630e 05| AAA  |    23.07407365281       -     23.7420688828       |  1s.3d - 1s.4p  |  1D  - 1P* |    |
                     |      18594.191023   |  9.7398e 03| AAA  |    23.7078900442        -     24.374679959533     |  1s.4p - 1s.8d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
                     |      18594.198986   |  8.7651e 04| AAA  |    23.7078900442        -     24.374679673987     |  1s.4p - 1s.8d  |  3P* - 3D  |    |
                     |      18594.199548   |  3.5063e 05| AAA  |    23.7078900442        -     24.374679653829     |  1s.4p - 1s.8d  |  3P* - 3D  |    |
                     |      18594.222127   |  1.4610e 05| AAA  |    23.7078911595        -     24.374679959533     |  1s.4p - 1s.8d  |  3P* - 3D  |    |
                     |      18594.230090   |  2.6296e 05| AAA  |    23.7078911595        -     24.374679673987     |  1s.4p - 1s.8d  |  3P* - 3D  |    |
                     |      18594.603583   |  1.9480e 05| AAA  |    23.7079048383        -     24.374679959533     |  1s.4p - 1s.8d  |  3P* - 3D  |    |
                     |                     |            |      |                                                   |                 |            |    |
