185, 1.2, 0.03
235, 2., 0.3
285, 6., 0.5
335, 14., 1
385, 22., 1
435, 26., 1
485, 27., 1
535, 24., 1
585, 17., 1
635, 8., 0.4
685, 3., 0.3


